company_name,job_position,employment_type,working_location_type,working_location,min_experience,salary,company_desc,company_industry,company_location,company_employess_count,job_desc_list,job_qualification_list,jobs_id
PT. BING KREATIF MANDIRI,Social Media Specialist,Penuh waktu,On-site,Jakarta Utara,Min. 1 years of experience,,"Tea, Ice Cream & Coffee",Ritel Makanan Dan Minuman,Jakarta Utara,>100,"['Create Content plan (weekly/monthly)', 'Create, Developed & Implement social media strategies through content & live hosting', 'Manage and grow social media accounts (TikTok, Instagram, Facebook & Twitter)', 'Create relevant content to increase brand awareness and sales leads', 'Keep on track with social media tools and trend', 'Finding and suggest KOL for promotion', 'Administering all social media accounts to ensure up-to-date content', 'Analyze campaign and social media performance', 'Collaboration with design team to create content', 'Create weekly/monthly report social media performance']","[""Bachelor's degree (S1) or equivalent in a related field"", 'Working experience 1-2 years of developing Social Media Account in FnB industry', 'Able to use simple editing tools for image and video, able to use Illustrator/Photoshop/AfterEffects is a plus point', 'Creative, Proactive, Open Minded, Simple Thinking & Story Teller', 'Proven experience in managing social media accounts for businesses', 'Strong understanding of social media platforms, trends, tools and best practices', 'Have a keen eye on design and aestethics', 'Able to manage social media ads', 'Create and execute photo and video for social media content', 'Confident to speaking front of camera and capable being a talent', 'Excellent written and verbal communication skills', 'Strong analytical skills to track and report on social media performance', 'Ability to work independently, and work with a team when necessary to meet deadlines']",10
Bringin Inti Teknologi,PHP Developer,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,,"We are an Integrated IT Solutions provider with a vision to become a leading technology service provider company which provides continuously positive value through innovation & effectiveness solutions by prioritizing customer’s satisfaction within the missions to become a trusted partner of customers through an optimal effective services that guarantee solutions, therefore, provide professional resources that is based on performances and integrity",Technology and Software Solutions,Jakarta Pusat,50–100,"['Menulis, menguji, dan memelihara kode PHP untuk membangun aplikasi web dinamis dan fungsional.', 'Mengembangkan sistem backend menggunakan PHP dan memastikan aplikasi berjalan dengan baik di server.', 'Membuat, mengelola, dan mengoptimalkan database menggunakan SQL (misalnya, MySQL, PostgreSQL) agar aplikasi dapat mengakses dan menyimpan data dengan efisien.', 'Menulis kueri SQL yang efisien untuk mendukung fungsionalitas aplikasi web.', 'Menyelesaikan masalah yang ada (debugging) dan memperbaiki bug dalam kode.', 'Menangani keamanan aplikasi dengan cara mengimplementasikan langkah-langkah proteksi seperti sanitasi input, pengelolaan sesi yang aman, dan proteksi terhadap serangan seperti SQL injection, XSS, dan CSRF.', 'Menggunakan alat pengembangan kolaboratif seperti Git untuk pengelolaan versi kode.', 'Menulis dan melaksanakan unit test untuk memastikan aplikasi bekerja sesuai dengan harapan.', 'Melakukan pengujian terhadap aplikasi web untuk memastikan semuanya berjalan dengan baik setelah diperbarui.']","['Minimal pendidikan S1 dengan jurusan Teknik Informatika / Komputer.', 'Memiliki pengalaman min 1 tahun di bidang terkait.', 'Menguasai Framework PHP seperti Laravel, CodeIgnter, Symfony atau Yii.', 'Menguasai database relasional seperti MySQL, PostgreSQL atau MariaDB.', 'Memiliki kemampuan untuk membuat dan mengkonsumsi API (Misalnya RESTful API).', 'Menguasai Sql& No SQLDatabase.', 'Terbiasa menggunakan git dan bitbucket.']",11
Sprint Asia,Legal [Bayarind],Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,,We provide innovative solutions through digital infrastructure & technology services to enhance your business.,IT Services And IT Consulting,Jakarta,50–100,"['Offer legal counsel on corporate law, contracts, IT law, and consumer protection.', 'Ensure compliance with PCI DSS standards, Bank Indonesia regulations, and other relevant industry rules.', 'Oversee licensing and regulatory requirements, including OSS processes (LKPM, KBLI adjustments, and TD-PSE Komdigi).', 'Draft, review, and negotiate business contracts and agreements.', 'Handle legal issues related to fintech, payment systems, and data privacy regulations.', 'Support dispute resolution and regulatory compliance initiatives.', 'Collaborate with technical teams to address legal aspects of system integration and e-commerce operations.', 'Maintain and manage legal documents using Microsoft Office Suite and legal management tools.']","['Bachelor’s Degree in Law with 3–5 years of experience as a Corporate Legal Specialist or similar role.', 'In-depth knowledge of corporate law, fintech regulations, and e-commerce compliance.', 'Proven experience handling contracts, regulatory compliance, and dispute resolution.', 'Familiarity with OSS processes and industry-specific requirements.', 'Strong analytical and problem-solving skills with excellent attention to detail.', 'Effective communication and negotiation skills.', 'Ability to work independently, in teams, and across departments.', 'Proficiency in English (verbal and written).']",12
V-Green Indonesia ,Customer Service,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Rp5.000.000 – 7.000.000,"V-Green is A company developing a global electric vehicle charging network by building charging stations, and also providing a comprehensive software solution by integrating charging stations from partners onto the platform.",Industrial Machinery Manufacturing,Jakarta Selatan,1–50,"['Handle customer inquiries via phone, email, and online channels.', 'Ensure 24/7 service coverage and resolve issues quickly.', 'Conduct customer satisfaction surveys and report findings.', 'Assist customers with product and service-related questions.', 'Identify and refer potential customers to relevant teams.', 'Resolve customer complaints efficiently, ensuring satisfaction.', 'Maintain accurate records and provide reports to management.']","['Female, at least 1 year experience in customer service', 'Bachelor’s degree in a relevant field', 'Willing to work in shifts', 'Fluent in English, Proficient in Microsoft Office and customer service tools.', 'Ability to work in a fast-paced, customer-focused environment.']",13
Valbury Asia Group,Financial Consultant,Penuh waktu,On-site,Medan,Min. Freshgrad,,Valbury Asia Futures adalah perusahaan pialang berjangka terpercaya di Indonesia. Kami memberikan panduan dan bantuan agar anda sukses berinvestasi di pasar berjangka.,Financial Services,Jakarta Selatan,-,"['Memberikan konsultasi keuangan kepada klien', 'Membantu merancang rencana keuangan yang sesuai dengan kebutuhan klien', 'Menyediakan solusi investasi yang tepat sesuai dengan profil risiko']","['Pendidikan Min. D3', 'Fresh Graduated/Berpengalaman', 'Terbuka untuk semua jurusan', 'Dapat berkomunikasi dengan baik']",14
PT Lakon Cipta Budaya,Graphic Designer,Penuh waktu,On-site,Tangerang,Min. 1 years of experience,,DRAWING THE WISDOM OF THE PAST INTO THE FUTURE LAKON Indonesia is not just a brand; it embodies a journey that narrates the richness of Indonesian culture and the importance of preservation.,Clothing Retail,Jakarta,50–100,"['Membuat desain visual untuk kebutuhan promosi & branding dengan kualitas yang tinggi yang sejalan dengan kebutuhan perusahaan\xa0', 'Memastikan materi design yang di cetak sesuai dengan design yang telah disepakati sebelumnya oleh perusahaan\xa0', 'Terlibat dalam proses dokumentasi kegiatan – kegiatan perusahaan dalam berbagai event\xa0', 'Menghasilkan sketsa tangan untuk pengembangan konsep desain', 'Bekerja sama dengan tim marketing & produk untuk kampanye visual yang menarik']","['Sarjana Graphic Design , Multimedia atau Setara', 'Minimal 3 tahun pengalaman di industri retail fashion sebagai Graphic Designer, Photographer atau Videographer\xa0', 'Hand sketching skills adalah keharusan 🎨✍', 'Mahir dalam Adobe Creative Suite (Photoshop, Illustrator, Video Motion,dll.)', 'Memahami tren desain dan branding di industri fashion', 'Kreatif, detail-oriented, memiliki manajemen waktu yang baik dan mampu bekerja dengan deadline', 'Mampu bekerjasama dalam tim dan memiliki skill komunikasi yang baik\xa0', 'Bersedia ditempatkan di Teras Lakon, Gading Serpong\xa0']",15
5758 Creative Lab,Business Development Executive,Penuh waktu,Remote,-,Min. 1 years of experience,,A Forward-thinking Influencer Marketing Agency,Advertising Services,Jakarta Selatan,50–100,"['Actively hunt for new clients through personal network and industry connections, especially within creative and digital agency circles.', 'Deliver winning pitches and turn leads into paying clients.', 'Negotiate deals and manage the end-to-end sales process.', 'Drive sales growth and consistently meet monthly and quarterly business development targets.', 'Establish and nurture strategic partnerships while collaborating with internal teams to ensure seamless service delivery.', 'Build and maintain strong relationships with key clients to ensure satisfaction and long-term partnerships.', 'Conduct in-depth market research and competitor analysis to uncover trends and opportunities in the digital and creative marketing industry.']","['years of experience in Business Development, especially in digital/creative agencies with a strong track record in client acquisition and relationship management.', 'Demonstrated background in handling 360 campaigns and digital marketing projects.', 'Proven ability to generate leads from personal and professional networks.', 'Strong communication and negotiation skills with a persuasive and consultative selling approach.', 'Strategic mindset with solid analytical skills and market knowledge to identify business opportunities.', 'Collaborative team player with the ability to coordinate across departments.', 'Strong track record of delivering results and exceeding targets.']",16
Torch.id,Internship Affiliate & KOL Management,Magang,On-site,Indonesia,Min. 4th Year College Student,,"Torch.id is a prominent Indonesian brand, provider of bags, luggages, traveling apparels and gears — which leverages data-driven research and design— to deliver innovative solutions to its customers.",Fashion & Apparel,Bandung,50–100,"['Assist in managing the company’s affiliate program by identifying, onboarding, and maintaining relationships with affiliates.', 'Help track affiliate performance, commissions, and engagement metrics to assess the effectiveness of partnerships.', ""Research and identify suitable KOLs, influencers, and micro-influencers in the fashion and lifestyle space who align with the brand's image."", 'Help maintain an organized content calendar for all influencer and affiliate activities to align with overall marketing plans.', 'Assist in monitoring key metrics for affiliate and KOL campaigns,', ""Stay updated with industry trends, emerging influencers, and competitors' affiliate/KOL strategies in the fashion space.""]","['Pursuing or recently completed a degree in Marketing, Communication, Fashion Management, or a related field.', 'Previous internship or project experience in affiliate management, influencer marketing, social media, or digital marketing is a plus.', 'Strong analytical skills and attention to detail.', 'Excellent communication and organizational skills.', 'Able to work collaboratively in a fast-paced environment.', 'Eager to learn and take initiative on tasks.', 'Willing to work on-site in Bandung.']",17
Redwoods Digital,Creative Graphic Designer,Penuh waktu,On-site,Tangerang Selatan,Min. 1 years of experience,," is a full-service agency that helps businesses grow Strategy, creativity, and technology under one tree.","Digital, Tech, Content, Media, Creative",Tangerang Selatan,1–50,"['Develop illustrations, social media design content, promotional content, and offline marketing assets using design software', 'Working with Creative Team to process scope & objectives', 'Ensure final graphics & layouts are visually appealing, engaging, and on-brand']","['Creative & Design Aesthetics Driven', 'Having high curiosity & tend to do some research about the content', 'Great attention to details & having excellent time-management', 'Excellent communication skills', 'years of working experience as a Graphic Designer in an agency/start-up environment.', 'Photoshop, Illustrator, Figma', 'Experienced in creating social media content and marketplace marketing assets', 'Self-motivated and very attentive to details', 'Design thinker (able to initiate creative ideas and solutions)', 'Experience with digital image editing and retouching.']",18
Universitas Ciputra,Career Development Officer,Penuh waktu,On-site,Surabaya,Min. 1 years of experience,,"Universitas Ciputra memiliki komitmen bahwa disetiap alur studi/konsentrasi yang ada memiliki tujuan sama yaitu membekali setiap mahasiswa agar mampu menjadi Entrepreneur sesuai keahlian masing-masing. Pendidikan dan Praktek Entrepreneurship diberikan secara merata disemua alur studi/konsentrasi mulai dari awal perkuliahan dimulai sampai akhir perkuliahan. Entrepreneurship memiliki arti yang lebih luas dari sekedar berjualan, membuka dan menjalankan bisnis karena didalamnya terdapat unsur kreatifitas & inovasi, kemampuan membaca kebutuhan pasar (market sensitivity) dan pengambilan resiko yang terhitung (calculated risk taking). Pada era masa kini, tantangan zaman semakin berat, kompetisi global terjadi, oleh karena itu Entrepreneur yang dihasilkan oleh institusi pendidikan tinggi haruslah Entrepreneur intelektual dengan keahlian sesuai bidang yang dipelajarinya. Tuntutan zaman ini yang mendorong kami untuk semakin meningkatkan dan mengembangkan kualitas dalam segala hal diantaranya adalah penambahan dan pengembangan beberapa program yang ditawarkan ke calon mahasiswa.",Perguruan Tinggi,Surabaya,>100,"['Melakukan bimbingan karir mahasiswa dan alumni', 'Melakukan pengelolaan hubungan eksternal realisasi kerjasama industri (Career Center)', 'Melakukan pengelolaan kebutuhan departemen']","['Pria/wanita usia 22-30 tahun', 'Pendidikan minimal S1 Psikologi atau Manajemen dari universitas terakreditasi.', 'Terampil dalam mengelola administrasi dan dokumentasi terkait program pengembangan karir.', 'Mampu mengorganisir data dan informasi dengan rapi dan sistematis.', 'Memiliki kemampuan komunikasi verbal dan tertulis yang baik.', 'Dapat berinteraksi secara efektif dengan berbagai pihak, termasuk perusahaan, peserta program, dan tim internal.', 'Mampu membangun dan memelihara hubungan baik dengan perusahaan-perusahaan mitra.', 'Memiliki ide-ide kreatif dalam merancang dan mengembangkan program pengembangan karir yang menarik dan relevan.', 'Cepat tanggap dan gesit dalam menjalankan program serta menghadapi perubahan atau masalah yang muncul.']",19
VENTENY INDONESIA,Special Project,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,,VENTENY offers a unique value proposition for MSMEs to grow their business by providing a combination of Growth Funding and Employee Super App.,Financial Services,Jakarta Selatan,50–100,"['Develop, manage and execute business growth projects', 'Facilitate alignment between project goals and commercial strategies', 'Build relationships with internal and external stakeholders to ensure project success', ""Monitor and report on key project metrics to the CEO's office"", 'Drive innovation and continuous improvement in project execution', 'Conduct regular project reviews to assess performance and outcomes']","[""Bachelor/master's degree in business administration, management, or a related field"", 'Proficiency in project management tools and Microsoft Office (especially Excel)', 'Experience in fintech or similar high-growth industries is a plus', 'Strong leadership with the ability to manage high-stakes projects', 'Excellent collaboration and communication skills for cross-functional teamwork', 'Capable of managing multiple growth initiatives simultaneously', 'Data-driven mindset with experience in performance monitoring and reporting', 'Strategic thinking with a focus on delivering measurable business results', 'Adaptability to a fast-paced, evolving business environment']",20
Damai Indah Golf,Waitress ( Ex Hotel Only ),Penuh waktu,On-site,Jakarta Utara,Min. 1 years of experience,Rp5.500.000 – 6.000.000,"Damai Indah Golf, the brainchild of well-known Indonesian real estate developer and business baron, Ir. Ciputra, consist of two international championship courses in completely different and challenging surroundings: Bumi Serpong Damai (BSD) course, located in the West Java satellite city of BSD; and Pantai Indah Kapuk (PIK) course, located along the Java Sea in North Jakarta.",Hospitality,Jakarta Utara,>100,"['Menyapa dan melayani pelanggan di kafe atau restoran', 'Mengkonfirmasi item makanan sesuai dengan pesanan pelanggan', 'Mengantar pesanan makanan ke meja pelanggan', 'Mematuhi kebijakan, keamanan, dan kepuasan pelanggan', 'Memberikan tagihan dan memproses pembayaran']","['Pendidikan minimal SMA/SMK Perhotelan', 'Tinggi Badan min. 160cm berat badan seimbang', 'Pengalaman minimal 1 tahun di bidang yang sama di perhotelan', 'Memiliki keterampilan pelayanan pelanggan', 'Kejujuran dan kemampuan untuk menangani transaksi', 'Bersedia bergabung secepatnya', 'Penempatan di PIK Jakarta Utara']",21
Sprout Digital Labs,Back End Developer,Penuh waktu,On-site,Tangerang Selatan,Min. 1 years of experience,,"At Sprout, we are not just a digital product house— we are architects of digital futures. We partner with companies and corporates to envision, design, build, and market digital solutions that not only solve today's challenges but have the potential to evolve into standalone ventures.",Digital Services and Technology,Tangerang,-,"['Provide technical leadership in a fast-moving, data-driven environment.\xa0\xa0', 'You will be deeply engaged in the full development lifecycle designing, developing, testing, deploying, maintaining, monitoring, and improving the software.\xa0\xa0', 'Write well-formatted modular code\xa0\xa0', 'Compile and integrate changes with the project\xa0\xa0', 'Use suitable data structures\xa0\xa0', 'Perform, debug and fix bugs, competency in a programming language\xa0']","['Experience in the related field\xa0', ""Bachelor's degree or College graduate\xa0"", 'Proficient knowledge of the back-end programming techstack such as nodejs,express,sequelize,Sql & no SQL DB\xa0', 'Understanding of front-end web technologies like HTML, CSS, and JavaScript (to communicate with team members on the front-end)\xa0', 'Ability to manage a hosting environment, including database administration as well as scaling applications to handle load changes\xa0', 'Knowledge of accessibility and security compliance\xa0', 'Experience with version control, such as Git\xa0']",22
