jobs_id,salary
279,Rp1.500.000 – 2.500.000
280,Rp10.000.000 – 20.000.000
282,Rp1.500.000 – 2.500.000
284,Rp5.000.000 – 10.000.000
287,Rp3.000.000 – 6.000.000
289,Rp8.000.000 – 15.000.000
292,Rp4.000.000 – 8.000.000
295,Rp4.000.000 – 7.000.000
296,Rp4.000.000 – 7.000.000
297,Rp5.000.000 – 10.000.000
298,Rp1.500.000 – 2.500.000
301,Rp4.000.000 – 8.000.000
302,Rp4.000.000 – 8.000.000
303,Rp3.000.000 – 6.000.000
305,Rp8.000.000 – 15.000.000
306,Rp10.000.000 – 20.000.000
307,Rp4.000.000 – 8.000.000
308,Rp6.000.000 – 12.000.000
309,Rp10.000.000 – 20.000.000
310,Rp1.500.000 – 2.500.000
312,Rp1.500.000 – 2.500.000
313,Rp6.000.000 – 12.000.000
318,Rp4.000.000 – 8.000.000
319,Rp4.000.000 – 8.000.000
320,Rp5.000.000 – 10.000.000
321,Rp1.500.000 – 2.500.000
322,Rp3.000.000 – 6.000.000
323,Rp1.500.000 – 2.500.000
324,Rp8.000.000 – 15.000.000
325,Rp1.500.000 – 2.500.000
327,Rp5.000.000 – 10.000.000
328,Rp5.000.000 – 10.000.000
329,Rp3.000.000 – 6.000.000
330,Rp1.500.000 – 2.500.000
331,Rp3.000.000 – 6.000.000
332,Rp1.500.000 – 2.500.000
333,Rp1.500.000 – 2.500.000
334,Rp4.000.000 – 8.000.000
336,Rp1.500.000 – 2.500.000
337,Rp5.000.000 – 10.000.000
338,Rp5.000.000 – 10.000.000
339,Rp2.000.000 – 4.000.000
340,Rp5.000.000 – 10.000.000
341,Rp5.000.000 – 10.000.000
342,Rp4.000.000 – 7.000.000
343,Rp4.000.000 – 8.000.000
344,Rp5.000.000 – 10.000.000
348,Rp4.000.000 – 8.000.000
349,Rp4.000.000 – 8.000.000
351,Rp5.000.000 – 10.000.000
352,Rp6.000.000 – 12.000.000
353,Rp4.000.000 – 7.000.000
355,Rp1.500.000 – 2.500.000
357,Rp4.000.000 – 8.000.000
360,Rp5.000.000 – 10.000.000
361,Rp4.000.000 – 8.000.000
364,Rp1.500.000 – 2.500.000
365,Rp5.000.000 – 10.000.000
366,Rp1.500.000 – 2.500.000
367,Rp1.500.000 – 2.500.000
368,Rp3.000.000 – 6.000.000
370,Rp10.000.000 – 20.000.000
371,Rp4.000.000 – 8.000.000
372,Rp5.000.000 – 10.000.000
373,Rp4.000.000 – 8.000.000
374,Rp5.000.000 – 10.000.000
377,Rp3.000.000 – 6.000.000
378,Rp1.500.000 – 2.500.000
379,Rp5.000.000 – 5.000.001
381,Rp5.000.000 – 10.000.000
382,Rp5.000.000 – 10.000.000
383,Rp8.000.000 – 15.000.000
385,Rp12.000.000 – 25.000.000
387,Rp3.000.000 – 6.000.000
389,Rp10.000.000 – 20.000.000
390,Rp8.000.000 – 15.000.000
391,Rp7.000.000 – 14.000.000
392,Rp1.500.000 – 2.500.000
395,Rp7.000.000 – 14.000.000
396,Rp4.000.000 – 8.000.000
399,Rp3.000.000 – 6.000.000
400,Rp10.000.000 – 20.000.000
401,Rp4.000.000 – 8.000.000
402,Rp8.000.000 – 15.000.000
403,Rp1.500.000 – 2.500.000
404,Rp1.500.000 – 2.500.000
405,Rp4.000.000 – 8.000.000
406,Rp5.000.000 – 10.000.000
407,Rp1.500.000 – 2.500.000
408,Rp3.000.000 – 6.000.000
410,Rp3.000.000 – 6.000.000
418,Rp5.000.000 – 10.000.000
419,Rp3.000.000 – 6.000.000
426,Rp4.000.000 – 8.000.000
427,Rp4.000.000 – 8.000.000
431,Rp4.000.000 – 8.000.000
432,Rp4.000.000 – 7.000.000
437,Rp5.000.000 – 10.000.000
440,Rp1.500.000 – 2.500.000
442,Rp2.000.000 – 4.000.000
443,Rp2.000.000 – 4.000.000
444,Rp2.000.000 – 4.000.000
445,Rp2.000.000 – 4.000.000
446,Rp2.000.000 – 4.000.000
447,Rp7.000.000 – 14.000.000
448,Rp2.000.000 – 4.000.000
450,Rp2.000.000 – 4.000.000
452,Rp2.500.000 – 5.000.000
454,Rp3.000.000 – 6.000.000
455,Rp1.500.000 – 2.500.000
456,Rp4.000.000 – 8.000.000
458,Rp4.000.000 – 8.000.000
459,Rp4.000.000 – 8.000.000
460,Rp3.000.000 – 6.000.000
461,Rp8.000.000 – 15.000.000
462,Rp5.000.000 – 10.000.000
464,Rp4.000.000 – 8.000.000
466,Rp5.000.000 – 10.000.000
467,Rp5.000.000 – 10.000.000
471,Rp4.000.000 – 8.000.000
472,Rp3.000.000 – 6.000.000
473,Rp7.000.000 – 14.000.000
474,Rp5.000.000 – 10.000.000
475,Rp3.000.000 – 6.000.000
476,Rp8.000.000 – 15.000.000
478,Rp2.500.000 – 5.000.000
479,Rp5.000.000 – 10.000.000
481,Rp4.000.000 – 8.000.000
482,Rp5.000.000 – 10.000.000
483,Rp5.000.000 – 10.000.000
484,Rp1.500.000 – 2.500.000
485,Rp5.000.000 – 10.000.000
489,Rp7.000.000 – 14.000.000
491,Rp5.000.000 – 10.000.000
494,Rp5.000.000 – 10.000.000
495,Rp3.000.000 – 6.000.000
496,Rp5.000.000 – 10.000.000
497,Rp4.000.000 – 8.000.000
498,Rp1.500.000 – 2.500.000
499,Rp3.000.000 – 6.000.000
500,Rp3.000.000 – 6.000.000
502,Rp10.000.000 – 20.000.000
503,Rp1.500.000 – 2.500.000
504,Rp5.000.000 – 10.000.000
505,Rp4.000.000 – 8.000.000
506,Rp8.000.000 – 15.000.000
507,Rp1.500.000 – 2.500.000
509,Rp3.000.000 – 6.000.000
510,Rp4.000.000 – 8.000.000
511,Rp4.000.000 – 8.000.000
512,Rp5.000.000 – 10.000.000
513,Rp5.000.000 – 10.000.000
515,Rp4.000.000 – 8.000.000
516,Rp8.000.000 – 15.000.000
517,Rp1.500.000 – 2.500.000
520,Rp4.000.000 – 8.000.000
521,Rp10.000.000 – 20.000.000
522,Rp10.000.000 – 20.000.000
523,Rp1.500.000 – 2.500.000
524,Rp4.000.000 – 8.000.000
525,Rp3.000.000 – 6.000.000
526,Rp5.000.000 – 10.000.000
527,Rp4.000.000 – 8.000.000
528,Rp4.000.000 – 8.000.000
530,Rp4.700.000 – 4.700.001
531,Rp3.000.000 – 6.000.000
533,Rp4.000.000 – 8.000.000
537,Rp3.000.000 – 6.000.000
539,Rp10.000.000 – 20.000.000
540,Rp3.000.000 – 6.000.000
541,Rp4.000.000 – 7.000.000
542,Rp3.000.000 – 6.000.000
543,Rp5.000.000 – 10.000.000
544,Rp8.000.000 – 15.000.000
545,Rp4.200.000 – 4.200.001
546,Rp5.200.000 – 5.200.001
547,Rp4.000.000 – 8.000.000
548,Rp5.000.000 – 10.000.000
550,Rp5.000.000 – 10.000.000
552,Rp1.500.000 – 2.500.000
553,Rp1.500.000 – 2.500.000
554,Rp1.500.000 – 2.500.000
555,Rp5.000.000 – 10.000.000
556,Rp4.000.000 – 8.000.000
557,Rp5.000.000 – 10.000.000
558,Rp3.000.000 – 6.000.000
559,Rp3.000.000 – 6.000.000
560,Rp3.243.968 – 3.243.969
561,Rp5.000.000 – 10.000.000
562,Rp5.000.000 – 10.000.000
563,Rp4.000.000 – 8.000.000
564,Rp4.000.000 – 8.000.000
565,Rp5.000.000 – 10.000.000
566,Rp5.000.000 – 10.000.000
568,Rp5.000.000 – 10.000.000
569,Rp5.000.000 – 10.000.000
570,Rp4.000.000 – 8.000.000
571,Rp1.500.000 – 2.500.000
572,Rp5.000.000 – 10.000.000
573,Rp5.000.000 – 10.000.000
574,Rp8.000.000 – 15.000.000
575,Rp4.700.000 – 4.700.001
576,Rp3.000.000 – 6.000.000
578,Rp5.000.000 – 10.000.000
579,Rp10.000.000 – 20.000.000
580,Rp5.000.000 – 10.000.000
581,Rp8.000.000 – 15.000.000
582,Rp10.000.000 – 20.000.000
583,Rp1.500.000 – 2.500.000
584,Rp7.000.000 – 14.000.000
585,Rp4.000.000 – 8.000.000
587,Rp7.000.000 – 14.000.000
588,Rp5.000.000 – 10.000.000
589,Rp3.000.000 – 6.000.000
590,Rp10.000.000 – 20.000.000
591,Rp7.000.000 – 14.000.000
592,Rp5.000.000 – 10.000.000
593,Rp5.000.000 – 10.000.000
594,Rp5.000.000 – 10.000.000
595,Rp7.000.000 – 14.000.000
597,Rp5.000.000 – 5.000.001
598,Rp3.000.000 – 6.000.000
600,Rp4.000.000 – 8.000.000
601,Rp10.000.000 – 20.000.000
607,Rp3.000.000 – 6.000.000
609,Rp3.300.000 – 3.500.000
612,Rp4.000.000 – 8.000.000
615,Rp8.000.000 – 15.000.000
618,Rp4.700.000 – 4.700.001
620,Rp5.000.000 – 5.000.001
625,Rp5.219.263 – 5.219.264
626,Rp3.724.436 – 3.724.437
627,Rp3.300.000 – 3.300.001
628,Rp3.300.000 – 3.300.001
629,Rp4.000.000 – 8.000.000
634,Rp5.000.000 – 10.000.000
635,Rp2.000.000 – 4.000.000
636,Rp1.500.000 – 2.500.000
637,Rp2.000.000 – 4.000.000
638,Rp2.000.000 – 4.000.000
639,Rp2.000.000 – 4.000.000
640,Rp5.000.000 – 10.000.000
641,Rp4.000.000 – 8.000.000
642,Rp5.000.000 – 10.000.000
643,Rp5.000.000 – 10.000.000
645,Rp8.000.000 – 15.000.000
648,Rp8.000.000 – 15.000.000
649,Rp1.500.000 – 2.500.000
655,Rp5.000.000 – 10.000.000
656,Rp8.000.000 – 15.000.000
657,Rp5.000.000 – 10.000.000
658,Rp1.500.000 – 2.500.000
659,Rp5.000.000 – 10.000.000
660,Rp5.000.000 – 10.000.000
661,Rp10.000.000 – 20.000.000
662,Rp8.000.000 – 15.000.000
663,Rp3.000.000 – 6.000.000
664,Rp5.000.000 – 10.000.000
665,Rp8.000.000 – 15.000.000
666,Rp10.000.000 – 20.000.000
667,Rp4.000.000 – 8.000.000
668,Rp7.000.000 – 14.000.000
669,Rp7.000.000 – 14.000.000
671,Rp5.000.000 – 10.000.000
674,Rp7.000.000 – 9.000.000
675,Rp7.000.000 – 14.000.000
677,Rp5.000.000 – 10.000.000
679,Rp3.000.000 – 6.000.000
681,Rp4.000.000 – 8.000.000
682,Rp10.000.000 – 20.000.000
683,Rp5.000.000 – 10.000.000
684,Rp4.000.000 – 8.000.000
685,Rp5.000.000 – 10.000.000
686,Rp4.000.000 – 8.000.000
689,Rp4.000.000 – 8.000.000
710,Rp4.000.000 – 8.000.000
712,Rp8.000.000 – 15.000.000
713,Rp10.000.000 – 20.000.000
714,Rp8.000.000 – 15.000.000
717,Rp10.000.000 – 20.000.000
719,Rp4.000.000 – 8.000.000
721,Rp5.000.000 – 10.000.000
723,Rp6.000.000 – 12.000.000
724,Rp4.000.000 – 8.000.000
726,Rp4.000.000 – 8.000.000
727,Rp6.000.000 – 40.000.000
731,Rp5.000.000 – 10.000.000
736,Rp6.000.000 – 12.000.000
738,Rp8.000.000 – 15.000.000
739,Rp4.000.000 – 8.000.000
740,Rp3.000.000 – 6.000.000
742,Rp4.000.000 – 8.000.000
743,Rp4.000.000 – 8.000.000
745,Rp6.000.000 – 12.000.000
746,Rp4.000.000 – 8.000.000
764,Rp1.500.000 – 2.500.000
765,Rp10.000.000 – 20.000.000
766,Rp10.000.000 – 20.000.000
768,Rp5.000.000 – 10.000.000
769,Rp1.500.000 – 2.500.000
771,Rp3.500.000 – 7.000.000
774,Rp5.000.000 – 10.000.000
776,Rp2.800.000 – 5.000.000
783,Rp6.000.000 – 12.000.000
787,Rp5.000.000 – 10.000.000
793,Rp4.000.000 – 8.000.000
794,Rp5.000.000 – 10.000.000
798,Rp5.000.000 – 10.000.000
799,Rp5.000.000 – 10.000.000
800,Rp15.000.000 – 30.000.000
801,Rp5.000.000 – 10.000.000
802,Rp8.000.000 – 15.000.000
807,Rp2.000.000 – 3.000.000
808,Rp4.500.000 – 5.000.000
812,Rp5.000.000 – 10.000.000
814,Rp10.000.000 – 20.000.000
816,Rp4.000.000 – 8.000.000
818,Rp4.000.000 – 8.000.000
820,Rp1.500.000 – 2.000.000
821,Rp1.000.000 – 1.500.000
822,Rp8.000.000 – 15.000.000
824,Rp4.000.000 – 8.000.000
825,Rp5.000.000 – 10.000.000
827,Rp5.000.000 – 10.000.000
829,Rp10.000.000 – 15.000.000
830,Rp7.000.000 – 10.000.000
834,Unpaid
835,Rp3.000.000 – 6.000.000
837,Rp3.000.000 – 6.000.000
843,Rp3.000.000 – 6.000.000
844,Rp1.500.000 – 2.500.000
845,Rp4.000.000 – 8.000.000
846,Rp4.000.000 – 8.000.000
848,Rp4.000.000 – 8.000.000
849,Rp4.000.000 – 7.000.000
850,Rp5.000.000 – 10.000.000
851,Rp4.000.000 – 8.000.000
852,Rp5.000.000 – 10.000.000
853,Rp5.000.000 – 10.000.000
854,Rp4.000.000 – 8.000.000
855,Rp8.000.000 – 15.000.000
857,Rp10.000.000 – 20.000.000
858,Rp4.000.000 – 8.000.000
859,Rp1.500.000 – 2.500.000
860,Rp3.000.000 – 6.000.000
861,Rp4.000.000 – 7.000.000
862,Rp3.000.000 – 6.000.000
863,Rp8.000.000 – 15.000.000
864,Rp1.500.000 – 2.500.000
865,Rp1.500.000 – 2.500.000
866,Rp4.000.000 – 8.000.000
867,Rp10.000.000 – 20.000.000
868,Rp4.000.000 – 8.000.000
869,Rp4.000.000 – 8.000.000
870,Rp4.000.000 – 8.000.000
871,Rp4.000.000 – 8.000.000
874,Rp8.000.000 – 15.000.000
876,Rp3.000.000 – 6.000.000
877,Rp3.000.000 – 6.000.000
878,Rp5.000.000 – 7.500.000
879,Rp8.000.000 – 15.000.000
880,Rp1.500.000 – 2.500.000
881,Rp4.000.000 – 8.000.000
883,Rp10.000.000 – 20.000.000
884,Rp8.000.000 – 15.000.000
886,Rp1.500.000 – 2.500.000
887,Rp4.000.000 – 8.000.000
888,Rp3.000.000 – 6.000.000
889,Rp4.000.000 – 8.000.000
890,Rp5.000.000 – 10.000.000
891,Rp5.000.000 – 6.500.000
892,Rp3.000.000 – 6.000.000
893,Rp6.000.000 – 12.000.000
894,Rp4.000.000 – 8.000.000
895,Rp4.000.000 – 8.000.000
896,Rp8.000.000 – 15.000.000
897,Rp4.000.000 – 8.000.000
900,Rp1.500.000 – 2.500.000
901,Rp6.000.000 – 12.000.000
902,Rp8.000.000 – 15.000.000
903,Rp4.000.000 – 7.000.000
904,Rp5.000.000 – 10.000.000
905,Rp10.000.000 – 20.000.000
906,Rp1.500.000 – 2.500.000
907,Rp6.000.000 – 12.000.000
908,Rp1.500.000 – 2.500.000
909,Rp3.000.000 – 6.000.000
910,Rp4.000.000 – 7.000.000
911,Rp1.500.000 – 2.500.000
912,Rp3.000.000 – 6.000.000
913,Rp5.000.000 – 10.000.000
914,Rp4.000.000 – 8.000.000
915,Rp4.000.000 – 8.000.000
916,Rp5.000.000 – 7.000.000
917,Rp4.000.000 – 8.000.000
918,Rp7.000.000 – 14.000.000
919,Rp3.000.000 – 6.000.000
920,Rp1.500.000 – 2.500.000
922,Rp4.000.000 – 8.000.000
923,Rp5.000.000 – 10.000.000
924,Rp4.000.000 – 8.000.000
925,Rp4.000.000 – 8.000.000
926,Rp4.000.000 – 7.000.000
927,Rp5.000.000 – 10.000.000
928,Rp7.000.000 – 14.000.000
930,Rp8.000.000 – 15.000.000
932,Rp4.000.000 – 8.000.000
933,Rp4.000.000 – 8.000.000
934,Rp4.000.000 – 8.000.000
935,Rp4.000.000 – 8.000.000
937,Rp8.000.000 – 15.000.000
938,Rp8.000.000 – 15.000.000
939,Rp4.000.000 – 8.000.000
940,Rp3.000.000 – 6.000.000
941,Rp8.000.000 – 15.000.000
942,Rp1.500.000 – 2.500.000
943,Rp4.000.000 – 8.000.000
944,Rp5.000.000 – 10.000.000
945,Rp3.000.000 – 6.000.000
946,Rp4.000.000 – 7.000.000
949,Rp1.500.000 – 2.500.000
950,Rp3.000.000 – 6.000.000
952,Rp5.000.000 – 10.000.000
954,Rp1.500.000 – 2.500.000
955,Rp4.000.000 – 8.000.000
956,Rp5.000.000 – 10.000.000
957,Rp8.000.000 – 15.000.000
958,Rp3.000.000 – 6.000.000
959,Rp1.500.000 – 2.500.000
960,Rp1.500.000 – 2.500.000
961,Rp4.000.000 – 8.000.000
962,Rp5.000.000 – 10.000.000
963,Rp1.500.000 – 2.500.000
964,Rp8.000.000 – 15.000.000
965,Rp3.000.000 – 6.000.000
966,Rp1.500.000 – 2.500.000
969,Rp4.000.000 – 7.000.000
970,Rp5.000.000 – 10.000.000
971,Rp5.000.000 – 10.000.000
972,Rp5.000.000 – 10.000.000
973,Rp8.000.000 – 15.000.000
974,Rp4.000.000 – 8.000.000
976,Rp8.000.000 – 15.000.000
978,Rp3.000.000 – 6.000.000
979,Rp8.000.000 – 15.000.000
981,Rp4.000.000 – 8.000.000
982,Rp6.000.000 – 12.000.000
983,Rp4.000.000 – 8.000.000
984,Rp1.500.000 – 2.500.000
985,Rp5.000.000 – 10.000.000
986,Rp4.000.000 – 7.000.000
987,Rp4.000.000 – 7.000.000
988,Rp5.000.000 – 10.000.000
989,Rp3.000.000 – 6.000.000
990,Rp4.000.000 – 8.000.000
991,Rp5.000.000 – 10.000.000
994,Rp10.000.000 – 20.000.000
996,Rp8.000.000 – 15.000.000
997,Rp8.000.000 – 15.000.000
999,Rp4.000.000 – 8.000.000
1000,Rp4.000.000 – 8.000.000
1001,Rp5.000.000 – 10.000.000
1002,Rp8.000.000 – 15.000.000
1003,Rp4.000.000 – 8.000.000
1004,Rp4.000.000 – 8.000.000
1005,Rp7.000.000 – 14.000.000
1006,Rp5.000.000 – 10.000.000
1007,Rp8.000.000 – 15.000.000
1008,Rp3.000.000 – 6.000.000
1009,Rp5.000.000 – 10.000.000
1010,Rp5.000.000 – 10.000.000
1012,Rp7.000.000 – 14.000.000
1013,Rp3.000.000 – 6.000.000
1014,Rp3.000.000 – 6.000.000
1015,Rp5.000.000 – 10.000.000
1016,Rp3.000.000 – 6.000.000
1017,Rp5.000.000 – 10.000.000
1018,Rp4.000.000 – 8.000.000
1019,Rp3.000.000 – 6.000.000
1020,Rp4.000.000 – 8.000.000
1021,Rp5.000.000 – 10.000.000
1022,Rp4.000.000 – 8.000.000
1023,Rp1.500.000 – 2.500.000
1025,Rp3.850.000 – 4.970.000
1029,Rp3.000.000 – 6.000.000
1030,Rp5.067.000 – 5.067.001
1031,Rp2.500.000 – 2.500.001
1032,Rp4.600.000 – 46.000.001
1033,Rp3.456.000 – 3.456.001
1034,Rp5.396.761 – 5.396.762
1035,Rp3.200.000 – 3.200.001
1036,Rp1.500.000 – 2.500.000
1037,Rp8.000.000 – 12.000.000
1039,Rp5.000.000 – 10.000.000
1040,Rp1.500.000 – 2.500.000
1041,Rp8.000.000 – 15.000.000
1042,Rp1.500.000 – 2.500.000
1043,Rp4.000.000 – 8.000.000
1045,Rp3.000.000 – 6.000.000
1047,Rp3.400.000 – 3.400.001
1048,Rp2.655.042 – 2.655.043
1049,Rp4.000.000 – 8.000.000
1051,Rp8.000.000 – 15.000.000
1052,Rp8.000.000 – 15.000.000
1054,Rp8.000.000 – 15.000.000
1055,Rp3.000.000 – 6.000.000
1056,Rp5.000.000 – 10.000.000
1058,Rp5.000.000 – 10.000.000
1059,Rp5.000.000 – 10.000.000
1060,Rp4.000.000 – 8.000.000
1063,Rp10.000.000 – 20.000.000
1064,Rp10.000.000 – 20.000.000
1065,Rp4.000.000 – 8.000.000
1066,Rp12.000.000 – 25.000.000
1068,Rp3.000.000 – 6.000.000
1069,Rp4.000.000 – 8.000.000
1071,Rp5.000.000 – 10.000.000
1072,Rp5.000.000 – 10.000.000
1073,Rp4.000.000 – 8.000.000
1074,Rp2.200.000 – 4.400.000
1075,Rp2.000.000 – 2.200.000
1076,Rp4.000.000 – 8.000.000
1078,Rp3.000.000 – 6.000.000
1080,Rp8.000.000 – 15.000.000
1090,Rp3.000.000 – 5.000.000
1106,Rp5.000.000 – 10.000.000
1121,Rp4.000.000 – 8.000.000
1127,Rp4.000.000 – 8.000.000
1128,Rp5.000.000 – 10.000.000
1129,Rp5.000.000 – 10.000.000
1130,Rp8.000.000 – 15.000.000
1132,Rp6.000.000 – 12.000.000
1133,Rp4.000.000 – 8.000.000
1134,Rp5.000.000 – 10.000.000
1135,Rp8.000.000 – 15.000.000
1139,Rp8.000.000 – 15.000.000
1140,Rp4.000.000 – 8.000.000
1141,Rp5.000.000 – 10.000.000
1142,Rp3.000.000 – 6.000.000
1143,Rp1.500.000 – 2.500.000
1144,Rp3.000.000 – 6.000.000
1145,Rp5.000.000 – 10.000.000
1146,Rp3.000.000 – 6.000.000
1148,Rp5.000.000 – 10.000.000
1150,Rp5.000.000 – 10.000.000
1151,Rp1.200.000 – 1.250.000
1152,Rp5.000.000 – 10.000.000
1153,Rp5.000.000 – 10.000.000
1154,Rp8.000.000 – 15.000.000
1155,Rp5.000.000 – 10.000.000
1156,Rp8.000.000 – 15.000.000
1157,Rp8.000.000 – 15.000.000
1159,Rp3.000.000 – 6.000.000
1160,Rp5.000.000 – 10.000.000
1161,Rp3.000.000 – 6.000.000
1162,Rp3.000.000 – 6.000.000
1163,Rp4.000.000 – 7.000.000
1164,Rp8.000.000 – 15.000.000
1166,Rp4.000.000 – 8.000.000
1167,Rp4.000.000 – 8.000.000
1168,Rp2.000.000 – 5.000.000
1169,Rp5.000.000 – 10.000.000
1170,Rp5.000.000 – 10.000.000
1171,Rp5.000.000 – 10.000.000
1173,Rp3.000.000 – 6.000.000
1174,Rp3.000.000 – 6.000.000
