company_name,job_position,employment_type,working_location_type,working_location,min_experience,salary,company_industry,company_location,company_employess_count,jobs_id,kategori
Torch.id,Internship Affiliate & KOL Management,Magang,On-site,Indonesia,Min. 4th Year College Student,Negotiable,Fashion & Apparel,Bandung,50–100,17,"['Internship & Trainee Programs', 'Marketing']"
Redwoods Digital,Creative Graphic Designer,Penuh waktu,On-site,Tangerang Selatan,Min. 1 years of experience,Negotiable,"Digital, Tech, Content, Media, Creative",Tangerang Selatan,1–50,18,['Creative & Design']
Universitas Ciputra,Career Development Officer,Penuh waktu,On-site,Surabaya,Min. 1 years of experience,Negotiable,Perguruan Tinggi,Surabaya,>100,19,"['Human Resources', 'Learning & Development']"
VENTENY INDONESIA,Special Project,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,Negotiable,Financial Services,Jakarta Selatan,50–100,20,"['Project Management', 'Other']"
Damai Indah Golf,Waitress ( Ex Hotel Only ),Penuh waktu,On-site,Jakarta Utara,Min. 1 years of experience,Rp5.500.000 – 6.000.000,Hospitality,Jakarta Utara,>100,21,['Hospitality & F&B']
Sprout Digital Labs,Back End Developer,Penuh waktu,On-site,Tangerang Selatan,Min. 1 years of experience,Negotiable,Digital Services and Technology,Tangerang,-,23,['Software Engineering']
United Creative,Videographer & Video Editor (A-List),Kontrak,On-site,Jakarta,Min. 1 years of experience,Negotiable,Media Production,Jakarta,>100,24,['Creative & Design']
Multimatics,Project Manager,Penuh waktu,On-site,Jakarta Selatan,Min. 5+ years of experience,Negotiable,Professional Training And Coaching,Jakarta,1–50,25,['Project Management']
Falco,Business Development Internship,Magang,On-site,Tangerang,Min. 4th Year College Student,Rp1.500.000 – 2.000.000,Management Consulting,Tangerang Regency,50–100,26,"['Internship & Trainee Programs', 'Business Development', 'Sales']"
Redwoods Digital,Creative Group Head,Penuh waktu,On-site,Tangerang Selatan,Min. 1 years of experience,Negotiable,"Digital, Tech, Content, Media, Creative",Tangerang Selatan,1–50,27,"['Creative & Design', 'Management & Leadership']"
Kavela,Performance Marketing,Penuh waktu,On-site,Bekasi,Min. 1 years of experience,Negotiable,Health and Personal Care,Bekasi,1–50,29,['Marketing']
Kavela,Livestreamer,Penuh waktu,On-site,Bekasi,Min. Freshgrad,Negotiable,Health and Personal Care,Bekasi,1–50,30,"['Marketing', 'Creative & Design']"
PT Yard Zeal Indonesia,Business Development,Penuh waktu,On-site,Jakarta Barat,Min. 1 years of experience,Rp6.000.000 – 8.000.000,Property & Real Estate,Jakarta Barat,1–50,31,"['Business Development', 'Sales']"
PT ITSEC Asia Tbk,Sr. Quality Assurance (QA) Engineer,Penuh waktu,On-site,Jakarta,Min. 4 years of experience,Negotiable,Information Technology & Services,Jakarta,-,32,"['Quality Assurance (Software)', 'Management & Leadership']"
PT ITSEC Asia Tbk,DevSecOps,Penuh waktu,On-site,Jakarta,Min. 4 years of experience,Negotiable,Information Technology & Services,Jakarta,-,33,"['DevOps', 'Cybersecurity']"
Clerina Group,Accounting Tax,Penuh waktu,On-site,Bandung,Min. 1 years of experience,Negotiable,Beauty and Cosmetics,Bandung,1–50,34,"['Accounting', 'Tax']"
Sprout Digital Labs,QA Engineer (Associate),Penuh waktu,On-site,Tangerang Selatan,Min. 4 years of experience,Negotiable,Digital Services and Technology,Tangerang,-,35,['Quality Assurance (Software)']
Bringin Inti Teknologi,Devops Engineering,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Technology and Software Solutions,Jakarta Pusat,50–100,36,['DevOps']
PT Midas Daya Teknologi,Backend Developer GO,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Technology,Jakarta Selatan,50–100,37,['Software Engineering']
Bringin Inti Teknologi,Java Developer,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Technology and Software Solutions,Jakarta Pusat,50–100,38,['Software Engineering']
Digital Tech Asia,Front End Developer,Kontrak,On-site,Jakarta Selatan,Min. 4 years of experience,Negotiable,IT Consulting and Services,Jakarta Selatan,1–50,39,['Software Engineering']
Sprout Digital Labs,CRM (Customer Relationship Management),Penuh waktu,On-site,Tangerang Selatan,Min. 1 years of experience,Negotiable,Digital Services and Technology,Tangerang,-,40,"['Marketing', 'Sales', 'Customer Service & Support']"
Sprout Digital Labs,Product Manager,Penuh waktu,On-site,Tangerang,Min. 1 years of experience,Negotiable,Digital Services and Technology,Tangerang,-,41,['Product Management']
PT Indonesia Fintopia Technology (Easycash),User Operations Intern (Mandarin Speaker),Magang,On-site,Jakarta Selatan,Min. Freshgrad,Negotiable,"Tech Company, Fintech",Jakarta,50–100,42,"['Internship & Trainee Programs', 'Operations Management', 'Customer Service & Support']"
PT Indonesia Fintopia Technology (Easycash),Tax Specialist,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Negotiable,"Tech Company, Fintech",Jakarta,50–100,43,['Tax']
PT Indonesia Fintopia Technology (Easycash),Accounting Specialist,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Negotiable,"Tech Company, Fintech",Jakarta,50–100,44,['Accounting']
PT Indonesia Fintopia Technology (Easycash),Business Operations Intern,Magang,On-site,Jakarta Selatan,Min. Freshgrad,Negotiable,"Tech Company, Fintech",Jakarta,50–100,45,"['Internship & Trainee Programs', 'Operations Management']"
PT Indonesia Fintopia Technology (Easycash),Graphic Design Intern,Magang,On-site,Jakarta Selatan,Min. 3rd Year College Student,Negotiable,"Tech Company, Fintech",Jakarta,50–100,46,"['Internship & Trainee Programs', 'Creative & Design']"
Sprint Asia,Claim Insurance - Customer Care Officer [Medlinx],Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Negotiable,IT Services And IT Consulting,Jakarta,50–100,47,"['Customer Service & Support', 'Finance', 'Healthcare & Medical']"
PT. Dragon Prima Farma,Personal Assistant,Penuh waktu,On-site,Semarang,Min. 2nd Year College Student,Rp3.500.000 – 4.000.000,Healthcare Manufacturer,Semarang,>100,48,['Administrative & Secretarial']
PT Indonesia Fintopia Technology (Easycash),Legal Counsel,Penuh waktu,On-site,Jakarta Selatan,Min. 5+ years of experience,Negotiable,"Tech Company, Fintech",Jakarta,50–100,49,['Legal & Compliance']
PT Pruwinner,Sales And Marketing Specialist,Penuh waktu,Hybrid,Jakarta Selatan,Min. 1 years of experience,Rp3.000.000 – 10.000.000,Insurance,Jakarta Selatan,1–50,50,"['Sales', 'Marketing']"
Multimatics,Presales Consultant,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Negotiable,Professional Training And Coaching,Jakarta,1–50,51,"['Sales', 'Consulting', 'IT Operations & Support']"
Mitramas Infosys Global,Senior Full Stack Developer,Kontrak,Hybrid,Jakarta,Min. 4 years of experience,Negotiable,Information Technology / IT,Jakarta Selatan,50–100,52,"['Software Engineering', 'Management & Leadership']"
Torch.id,Internship Admin O2O,Magang,On-site,Bandung,Min. 4th Year College Student,Negotiable,Fashion & Apparel,Bandung,50–100,53,"['Internship & Trainee Programs', 'Administrative & Secretarial', 'Retail']"
Mitramas Infosys Global,Senior UI/UX Designer,Kontrak,Hybrid,Jakarta,Min. 4 years of experience,Rp9.000.000 – 11.000.000,Information Technology / IT,Jakarta Selatan,50–100,54,"['UI/UX Design', 'Creative & Design', 'Management & Leadership']"
Serial,General Affair & Administration (6 Months Contract),Kontrak,On-site,Jakarta Barat,Min. 4 years of experience,Negotiable,Retail and Wholesale,Jakarta Barat,50–100,55,['Administrative & Secretarial']
Torch.id,PIC Live Stream (Analyst),Penuh waktu,On-site,Indonesia,Min. 1 years of experience,Negotiable,Fashion & Apparel,Bandung,50–100,56,"['Marketing', 'Creative & Design', 'Data Science & Analytics']"
United Creative,Host Live Stream (Beauty),Kontrak,On-site,Jakarta Barat,Min. Freshgrad,Negotiable,Media Production,Jakarta,>100,57,"['Marketing', 'Creative & Design']"
Delamibrands,General Ledger Supervisor,Penuh waktu,On-site,Tangerang Selatan,Min. 4 years of experience,Negotiable,Retail,Tangerang,>100,58,"['Accounting', 'Management & Leadership']"
PT. Mirael Natural Indonesia,Digital Marketing Ads,Kontrak,On-site,Jakarta Barat,Min. 1 years of experience,Negotiable,Retail Health And Beauty,Jakarta,>100,59,['Marketing']
Torch.id,Sr. OD & Talent Management,Penuh waktu,On-site,Bandung,Min. 4 years of experience,Negotiable,Fashion & Apparel,Bandung,50–100,61,"['Human Resources', 'Management & Leadership']"
BrandPartner - Strategic Growth Consultant,Photographer & Videographer at AADK (Ada Apa Dengan Kopi),Penuh waktu,On-site,Surabaya,Min. 1 years of experience,Rp4.000.000 – 6.000.000,Business Consultant,Surabaya,1–50,63,['Creative & Design']
Kharisma Potensia Indonesia,"Finance Account Receivable Staff, Jakarta Utara",Kontrak,On-site,Jakarta Utara,Min. 1 years of experience,Rp5.000.000 – 5.067.381,Human Resources and Consulting,Jakarta,>100,64,"['Finance', 'Accounting']"
ITOMMEY Group,3D Artist,Freelance,Remote,-,Min. 1 years of experience,Negotiable,IT Services And IT Consulting,Jakarta,50–100,65,['Creative & Design']
Universitas Ciputra,Learning Multimedia Specialist,Penuh waktu,On-site,Surabaya,Min. 1 years of experience,Negotiable,Perguruan Tinggi,Surabaya,>100,67,"['Learning & Development', 'Creative & Design']"
Universitas Ciputra,Digital Performance Ads Specialist (Surabaya),Penuh waktu,On-site,Surabaya,Min. 1 years of experience,Negotiable,Perguruan Tinggi,Surabaya,>100,68,['Marketing']
PT Senyum Karya Muda,Digital Ads Specialist,Penuh waktu,On-site,Tangerang,Min. 1 years of experience,Rp3.500.000 – 5.000.000,Beauty and Personal Care,Tangerang,1–50,69,['Marketing']
Valbury Asia Group,Telemarketing,Penuh waktu,On-site,Surabaya,Min. Freshgrad,Negotiable,Financial Services,Jakarta Selatan,-,70,['Sales']
TMB Partners,Merchandiser Modern Trade Supervisor (Brand Evolene),Penuh waktu,On-site,Tangerang,Min. 4 years of experience,Negotiable,Investasi,Jakarta Barat,1–50,73,"['Retail', 'Sales', 'Management & Leadership']"
Valbury Asia Group,Client Relationship Officer,Penuh waktu,On-site,Jakarta Selatan,Min. Freshgrad,Rp2.500.000 – 5.000.000,Financial Services,Jakarta Selatan,-,74,"['Account Management', 'Customer Service & Support']"
Wilopo Cargo,Personal Assistant to CEO,Penuh waktu,On-site,Jakarta Utara,Min. 1 years of experience,Negotiable,"Transportation, Logistics, Supply Chain And Storage",Jakarta Utara,50–100,76,['Administrative & Secretarial']
Triputra Visi Energi (TRIVE),Site Manager,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Oil And Gas,Jakarta Pusat,50–100,77,"['Operations Management', 'Engineering (non-software)', 'Management & Leadership']"
PT Tri Sapta Jaya,Tax Assistant Manager,Penuh waktu,On-site,Jakarta Timur,Min. 4 years of experience,Negotiable,Pharmaceutical Distribution and Logistics,Jakarta Timur,>100,78,"['Tax', 'Management & Leadership']"
ITOMMEY Group,Fullstack Developer,Penuh waktu,On-site,Jakarta Selatan,Min. Freshgrad,Rp6.000.000 – 8.000.000,IT Services And IT Consulting,Jakarta,50–100,79,['Software Engineering']
TMB Partners,Sales Assistant (Plaza Indonesia),Penuh waktu,On-site,Jakarta Pusat,Min. 1 years of experience,Rp4.500.000 – 5.000.000,Investasi,Jakarta Barat,1–50,80,"['Sales', 'Retail', 'Customer Service & Support']"
Kharisma Potensia Indonesia,Accounting & Audit Support Jakarta Utara,Kontrak,On-site,Jakarta Utara,Open for all levels,Rp5.500.000 – 6.000.000,Human Resources and Consulting,Jakarta,>100,81,"['Accounting', 'Audit', 'Administrative & Secretarial']"
PT Hasanayu Putri Jelita,Project Management Manufacturing,Penuh waktu,On-site,Bogor Regency,Min. 1 years of experience,Rp6.000.000 – 9.000.000,Cosmetics manufacturing,Bogor Regency,1–50,82,"['Project Management', 'Production & Manufacturing']"
Falco,Junior Advertiser,Penuh waktu,On-site,Tangerang,Min. 1 years of experience,Rp5.000.000 – 6.000.000,Management Consulting,Tangerang Regency,50–100,83,['Marketing']
AssistX Enterprise,Account Manager,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Rp10.000.000 – 17.000.000,Software Development,Jakarta,50–100,84,"['Account Management', 'Sales']"
PT Teman Satu Skolla,Field Sales Jaktim,Penuh waktu,Hybrid,Jakarta Selatan,Min. 1 years of experience,Rp5.500.000 – 6.500.000,Education,Jakarta Selatan,1–50,85,['Sales']
Kharisma Potensia Indonesia,HRGA area DI Yogyakarta,Kontrak,On-site,Yogyakarta,Min. 1 years of experience,Rp2.400.000 – 2.492.997,Human Resources and Consulting,Jakarta,>100,86,"['Human Resources', 'Administrative & Secretarial']"
PT. Dream Dare Discover (ZUMA Sandals),Branch Manager - Bali,Penuh waktu,Hybrid,Denpasar,Min. 4 years of experience,Negotiable,Footwear,Pasuruan,1–50,87,"['Management & Leadership', 'Operations Management', 'Sales']"
PT. BING KREATIF MANDIRI,Sales & Marketing Area,Penuh waktu,On-site,Jakarta Utara,Min. 1 years of experience,Rp5.100.000 – 5.500.000,Ritel Makanan Dan Minuman,Jakarta Utara,>100,89,"['Sales', 'Marketing']"
Papandayan Cargo,HR Industrial Relation,Penuh waktu,On-site,Jakarta Timur,Min. 1 years of experience,Negotiable,Truck Transportation,Jakarta,50–100,90,['Human Resources']
Yayasan Cinta Quran Global,Project Manager,Penuh waktu,On-site,Bogor,Min. 4 years of experience,Negotiable,Philantrophy,Bogor,-,91,['Project Management']
PT Xin Yuan Industry,Content Creator,Penuh waktu,On-site,Surabaya,Min. 4th Year College Student,Negotiable,Wholesale Import And Export,Surabaya,50–100,92,"['Creative & Design', 'Marketing']"
PT. Mitra Manunggal Mahardika (Adelle Jewellery),Administration & Sales Officer,Penuh waktu,On-site,Jakarta Utara,Min. Freshgrad,Rp5.000.000 – 5.500.000,Luxury Goods & Jewelry,Jakarta,>100,93,"['Administrative & Secretarial', 'Sales']"
Kharisma Potensia Indonesia,Recruitment (Cleaning & DW di Hotel),Kontrak,On-site,Jakarta Pusat,Min. 1 years of experience,Rp5.000.000 – 5.500.000,Human Resources and Consulting,Jakarta,>100,94,['Recruitment']
Falco,Creative Content Strategist,Penuh waktu,On-site,Tangerang,Min. 1 years of experience,Rp7.000.000 – 11.000.000,Management Consulting,Tangerang Regency,50–100,95,"['Creative & Design', 'Marketing']"
ITOMMEY Group,PHP Developer,Penuh waktu,On-site,Jakarta Selatan,Min. Freshgrad,Rp6.000.000 – 8.000.000,IT Services And IT Consulting,Jakarta,50–100,96,['Software Engineering']
Papandayan Cargo,Control Tower (Network),Penuh waktu,On-site,Jakarta Timur,Min. Freshgrad,Negotiable,Truck Transportation,Jakarta,50–100,97,"['IT Operations & Support', 'Supply Chain & Logistics']"
Papandayan Cargo,People Development,Penuh waktu,On-site,Jakarta Timur,Min. 1 years of experience,Negotiable,Truck Transportation,Jakarta,50–100,98,"['Human Resources', 'Learning & Development']"
Digital Tech Asia,Quality Assurance (QA) Automation Engineer,Kontrak,On-site,Bandung,Min. 4 years of experience,Negotiable,IT Consulting and Services,Jakarta Selatan,1–50,101,"['Quality Assurance (Software)', 'Software Engineering']"
PT Lakon Cipta Budaya,Pramuniaga,Penuh waktu,On-site,Bali,Min. 1 years of experience,Rp3.000.000 – 3.500.000,Clothing Retail,Jakarta,50–100,103,"['Retail', 'Sales', 'Customer Service & Support']"
PT Teman Satu Skolla,Field Sales Bandung,Penuh waktu,Hybrid,Jakarta Selatan,Min. 1 years of experience,Rp5.500.000 – 6.500.000,Education,Jakarta Selatan,1–50,105,['Sales']
PT. BING KREATIF MANDIRI,Export Import Staff,Penuh waktu,On-site,Jakarta Utara,Min. 1 years of experience,Negotiable,Ritel Makanan Dan Minuman,Jakarta Utara,>100,106,['Supply Chain & Logistics']
FOREXimf.com,KOL & Community Specialist,Penuh waktu,On-site,Bandung,Min. 1 years of experience,Rp4.600.000 – 6.500.000,Finance,Bandung,50–100,107,['Marketing']
PT Trimitra Karunia Pinastika,Drafter,Penuh waktu,On-site,Tangerang,Min. Freshgrad,Negotiable,Construction,Sidoarjo Regency,1–50,108,"['Engineering (non-software)', 'Creative & Design']"
PT Bernazar Urat Persada,Architect (Principal/Consultant),Penuh waktu,On-site,Jakarta,Min. 4 years of experience,Rp6.000.000 – 8.000.000,Construction,Jakarta Timur,1–50,109,"['Engineering (non-software)', 'Creative & Design', 'Consulting', 'Management & Leadership']"
Torch.id,Crossborder Executive (Amazon),Penuh waktu,On-site,Bandung,Min. 1 years of experience,Negotiable,Fashion & Apparel,Bandung,50–100,110,"['Supply Chain & Logistics', 'Sales', 'E-commerce']"
PT Tri Sapta Jaya,Salesman - Jakarta,Penuh waktu,On-site,Jakarta,Min. Freshgrad,Negotiable,Pharmaceutical Distribution and Logistics,Jakarta Timur,>100,111,['Sales']
PT. PASSION ABADI KORPORA,Stock Opname Staff,Kontrak,On-site,Tangerang Selatan,Min. Freshgrad,Rp5.500.000 – 6.500.000,Retail Luxury Goods And Jewelry,Banten,-,112,"['Supply Chain & Logistics', 'Warehouse Management', 'Accounting']"
Infinid Indonesia,General Admin Intern,Magang,On-site,Jakarta Selatan,Min. 4th Year College Student,Rp4.000.000 – 4.500.000,Financial Services,Jakarta Selatan,50–100,113,"['Internship & Trainee Programs', 'Administrative & Secretarial']"
PT UNZA VITALIS (a business unit of Wipro Customer Care),e-Commerce Junior Manager,Penuh waktu,On-site,Jakarta Barat,Min. 4 years of experience,Negotiable,Consumer Goods,Jakarta Barat,-,114,"['E-commerce', 'Marketing', 'Sales', 'Management & Leadership']"
LindungiHutan,Video Editor & Content Creator,Penuh waktu,Remote,-,Min. Freshgrad,Rp3.000.000 – 3.300.000,Environmental Services,Semarang Regency,50–100,115,"['Creative & Design', 'Marketing']"
Tentang Anak,Creative Director,Penuh waktu,Hybrid,Jakarta Pusat,Min. 5+ years of experience,Negotiable,Moms & Children Health,Jakarta,50–100,116,"['Creative & Design', 'Management & Leadership']"
Akar Inti Enterprise,Content and Digital Growth Specialist,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,Rp15.000.000 – 17.000.000,Information Technology & Services,Jakarta Selatan,1–50,117,"['Marketing', 'Creative & Design']"
Durianpay,Government Relations Senior Associate,Penuh waktu,Hybrid,Jakarta Selatan,Min. 4 years of experience,Negotiable,Financial Technology,Jakarta Selatan,50–100,118,"['Legal & Compliance', 'Public Relations']"
Durianpay,Business Development Representative,Penuh waktu,Hybrid,Jakarta Selatan,Min. Freshgrad,Negotiable,Financial Technology,Jakarta Selatan,50–100,119,"['Sales', 'Business Development']"
V-Green Indonesia ,Digital Marketing Staff,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Rp5.000.000 – 7.500.000,Industrial Machinery Manufacturing,Jakarta Selatan,1–50,120,['Marketing']
Durianpay,Account Management Associate,Penuh waktu,Hybrid,Jakarta Selatan,Min. Freshgrad,Negotiable,Financial Technology,Jakarta Selatan,50–100,121,"['Account Management', 'Sales']"
ASRI (a subsidiary of Agung Sedayu Group),Graphic Designer Supervisor,Penuh waktu,On-site,Jakarta Utara,Min. 4 years of experience,Negotiable,Real Estate,Jakarta,>100,122,"['Creative & Design', 'Management & Leadership']"
Kalbe Nutritionals (PT Sanghiang Perkasa),Learning and Development Internship (Website & Content learning),Magang,On-site,Karawang Regency,Min. 1st Year College Student,Negotiable,Food And Beverage Services,Jakarta Utara,-,123,"['Internship & Trainee Programs', 'Learning & Development', 'Creative & Design']"
Kalbe Nutritionals (PT Sanghiang Perkasa),KNIP NutriImpact - Marketing Event and Activation Divison - Internship,Magang,Hybrid,Jakarta,Min. 4th Year College Student,Negotiable,Food And Beverage Services,Jakarta Utara,-,124,"['Internship & Trainee Programs', 'Marketing']"
Jakmall.com,Warehouse Manager,Penuh waktu,On-site,Jakarta Barat,Min. 1 years of experience,Rp12.000.000 – 17.000.000,Information Technology,Jakarta Barat,50–100,125,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
FIT HUB,Customer Service (Palembang),Kontrak,On-site,Palembang,Min. 1 years of experience,Rp3.456.000 – 3.456.001,Gym,Jakarta Selatan,>100,126,['Customer Service & Support']
PT. Stanli Trijaya Mandiri,Production Coordinator,Penuh waktu,On-site,Bandung Regency,Min. 1 years of experience,Negotiable,Food And Beverage Manufacturing,Bandung,-,127,"['Production & Manufacturing', 'Management & Leadership']"
Tentang Anak,Talent Acquisition Lead,Penuh waktu,On-site,Jakarta Pusat,Min. 5+ years of experience,Negotiable,Moms & Children Health,Jakarta,50–100,128,"['Recruitment', 'Management & Leadership']"
PT. Mandiri International Technology,Quality Assurance (QA) Tester,Kontrak,On-site,Jakarta Selatan,Min. Freshgrad,Rp5.000.000 – 8.500.000,IT Consulting & Services Company,Jakarta,50–100,129,['Quality Assurance (Software)']
FIT HUB,Customer Service (Karawang),Kontrak,On-site,Karawang Regency,Min. 1 years of experience,Rp5.200.000 – 5.200.001,Gym,Jakarta Selatan,>100,130,['Customer Service & Support']
FIT HUB,Customer Service (Batam),Kontrak,On-site,Batam,Min. Freshgrad,Rp4.600.000 – 4.600.001,Gym,Jakarta Selatan,>100,131,['Customer Service & Support']
Jakmall.com,Personal Assistant,Penuh waktu,On-site,Jakarta Barat,Min. 1 years of experience,Rp5.500.000 – 7.000.000,Information Technology,Jakarta Barat,50–100,132,['Administrative & Secretarial']
FIT HUB,Operation Manager (Denpasar - Bali),Penuh waktu,On-site,Denpasar,Min. 1 years of experience,Rp10.000.000 – 12.000.000,Gym,Jakarta Selatan,>100,133,"['Operations Management', 'Management & Leadership']"
Incentro,Front End Developer,Penuh waktu,On-site,Bali,Min. Freshgrad,Rp6.000.000 – 8.000.000,"Technology, Information & Internet, Management Consulting",Badung Regency,1–50,134,['Software Engineering']
Kalbe Nutritionals (PT Sanghiang Perkasa),Demand Planner,Penuh waktu,On-site,Karawang Regency,Min. 1 years of experience,Negotiable,Food And Beverage Services,Jakarta Utara,-,135,['Supply Chain & Logistics']
Bosnet Distribution Indonesia,Software Developer,Penuh waktu,On-site,Jakarta Selatan,Min. Freshgrad,Negotiable,"Technology, Information And Internet",Jakarta Selatan,-,136,['Software Engineering']
PT SANTOS JAYA ABADI (Kapal Api Group),Management Trainee,Penuh waktu,On-site,Sidoarjo Regency,Min. Freshgrad,Negotiable,Manufacture,Sidoarjo Regency,50–100,137,"['Internship & Trainee Programs', 'Management & Leadership']"
Xapiens Teknologi Indonesia,Service Desk Engineer (IT Support),Kontrak,On-site,Tangerang Selatan,Min. 1 years of experience,Rp5.000.000 – 6.500.000,ICT Services,Tangerang Selatan,50–100,138,['IT Operations & Support']
Akar Inti Enterprise,Back End Developer (Java),Penuh waktu,Hybrid,Jakarta Selatan,Min. 1 years of experience,Rp15.000.000 – 20.000.000,Information Technology & Services,Jakarta Selatan,1–50,139,['Software Engineering']
Infinid Indonesia,Copywriter Intern,Magang,On-site,Jakarta Selatan,Min. Freshgrad,Rp4.000.000 – 4.800.000,Financial Services,Jakarta Selatan,50–100,140,"['Internship & Trainee Programs', 'Creative & Design', 'Marketing']"
"PT Akasha Wira International, Tbk",Graphic Design Intern - Beauty Care,Magang,On-site,Jakarta Selatan,Min. 4th Year College Student,Rp2.700.000 – 3.600.000,Manufacturing (FMCG),Jakarta,>100,141,"['Internship & Trainee Programs', 'Creative & Design']"
PT SANTOS JAYA ABADI (Kapal Api Group),Payroll Staff,Penuh waktu,On-site,Sidoarjo Regency,Min. Freshgrad,Negotiable,Manufacture,Sidoarjo Regency,50–100,142,"['Compensation & Benefits', 'Human Resources']"
PT Bobobox Mitra Indonesia,Resort Operations Supervisor,Kontrak,Hybrid,Indonesia,Min. 1 years of experience,Negotiable,Hospitality and Tourism,Bandung,-,143,"['Hospitality & F&B', 'Operations Management', 'Management & Leadership']"
"PT Akasha Wira International, Tbk",Graduate Trainee Program - Production & Engineering,Kontrak,On-site,Bogor,Min. Freshgrad,Rp7.000.000 – 8.000.000,Manufacturing (FMCG),Jakarta,>100,144,"['Internship & Trainee Programs', 'Production & Manufacturing', 'Engineering (non-software)']"
PT XanhSM Green & Smart Mobility,Operations Specialist - Makassar,Penuh waktu,On-site,Makassar,Min. 1 years of experience,Negotiable,Taxi Listrik,Jakarta Selatan,-,145,['Operations Management']
Akar Inti Enterprise,Sales Acquisition,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,Rp15.000.000 – 18.000.000,Information Technology & Services,Jakarta Selatan,1–50,146,['Sales']
