jobs_id,job_position,kategori
86,HRGA area DI Yogyakarta,"['Human Resources', 'Administrative & Secretarial']"
87,Branch Manager - Bali,"['Management & Leadership', 'Operations Management', 'Sales']"
88,Tax Accountant,"['Tax', 'Accounting']"
89,Sales & Marketing Area,"['Sales', 'Marketing']"
90,HR Industrial Relation,"['Human Resources']"
91,Project Manager,"['Project Management']"
92,Content Creator,"['Creative & Design', 'Marketing']"
93,Administration & Sales Officer,"['Administrative & Secretarial', 'Sales']"
94,Recruitment (Cleaning & DW di Hotel),"['Recruitment']"
95,Creative Content Strategist,"['Creative & Design', 'Marketing']"
96,PHP Developer,"['Software Engineering']"
97,Control Tower (Network),"['IT Operations & Support', 'Supply Chain & Logistics']"
98,People Development,"['Human Resources', 'Learning & Development']"
99,Operator Welder,"['Skilled Trades & Technician', 'Production & Manufacturing']"
100,Business Process Internship,"['Internship & Trainee Programs', 'Business Analysis', 'Operations Management']"
101,Quality Assurance (QA) Automation Engineer,"['Quality Assurance (Software)', 'Software Engineering']"
102,SPV ACCOUNTING,"['Accounting', 'Management & Leadership']"
103,Pramuniaga,"['Retail', 'Sales', 'Customer Service & Support']"
104,Odoo Developer,"['Software Engineering']"
105,Field Sales Bandung,"['Sales']"
106,Export Import Staff,"['Supply Chain & Logistics']"
107,KOL & Community Specialist,"['Marketing']"
108,Drafter,"['Engineering (non-software)', 'Creative & Design']"
109,Architect (Principal/Consultant),"['Engineering (non-software)', 'Creative & Design', 'Consulting', 'Management & Leadership']"
110,Crossborder Executive (Amazon),"['Supply Chain & Logistics', 'Sales', 'E-commerce']"
111,Salesman - Jakarta,"['Sales']"
112,Stock Opname Staff,"['Supply Chain & Logistics', 'Warehouse Management', 'Accounting']"
113,General Admin Intern,"['Internship & Trainee Programs', 'Administrative & Secretarial']"
114,e-Commerce Junior Manager,"['E-commerce', 'Marketing', 'Sales', 'Management & Leadership']"
115,Video Editor & Content Creator,"['Creative & Design', 'Marketing']"
116,Creative Director,"['Creative & Design', 'Management & Leadership']"
117,Content and Digital Growth Specialist,"['Marketing', 'Creative & Design']"
118,Government Relations Senior Associate,"['Legal & Compliance', 'Public Relations']"
119,Business Development Representative,"['Sales', 'Business Development']"
120,Digital Marketing Staff,"['Marketing']"
121,Account Management Associate,"['Account Management', 'Sales']"
122,Graphic Designer Supervisor,"['Creative & Design', 'Management & Leadership']"
123,Learning and Development Internship (Website & Content learning),"['Internship & Trainee Programs', 'Learning & Development', 'Creative & Design']"
124,KNIP NutriImpact - Marketing Event and Activation Divison - Internship,"['Internship & Trainee Programs', 'Marketing']"
125,Warehouse Manager,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
126,Customer Service (Palembang),"['Customer Service & Support']"
127,Production Coordinator,"['Production & Manufacturing', 'Management & Leadership']"
128,Talent Acquisition Lead,"['Recruitment', 'Management & Leadership']"
129,Quality Assurance (QA) Tester,"['Quality Assurance (Software)']"
130,Customer Service (Karawang),"['Customer Service & Support']"
131,Customer Service (Batam),"['Customer Service & Support']"
132,Personal Assistant,"['Administrative & Secretarial']"
133,Operation Manager (Denpasar - Bali),"['Operations Management', 'Management & Leadership']"
134,Front End Developer,"['Software Engineering']"
135,Demand Planner,"['Supply Chain & Logistics']"
136,Software Developer,"['Software Engineering']"
137,Management Trainee,"['Internship & Trainee Programs', 'Management & Leadership']"
138,Service Desk Engineer (IT Support),"['IT Operations & Support']"
139,Back End Developer (Java),"['Software Engineering']"
140,Copywriter Intern,"['Internship & Trainee Programs', 'Creative & Design', 'Marketing']"
141,Graphic Design Intern - Beauty Care,"['Internship & Trainee Programs', 'Creative & Design']"
142,Payroll Staff,"['Compensation & Benefits', 'Human Resources']"
143,Resort Operations Supervisor,"['Hospitality & F&B', 'Operations Management', 'Management & Leadership']"
144,Graduate Trainee Program - Production & Engineering,"['Internship & Trainee Programs', 'Production & Manufacturing', 'Engineering (non-software)']"
145,Operations Specialist - Makassar,"['Operations Management']"
146,Sales Acquisition,"['Sales']"
147,Technology Specialist (IT Finance Support),"['IT Operations & Support', 'Finance']"
148,Store Keeper Helper,"['Warehouse Management', 'Supply Chain & Logistics', 'Retail']"
149,Fleet Team Leader - Surabaya,"['Supply Chain & Logistics', 'Management & Leadership']"
150,Supply Chain Management,"['Supply Chain & Logistics']"
151,Business Development,"['Business Development', 'Sales']"
152,Customer Support Specialist,"['Customer Service & Support']"
153,Business Process Improvement Head,"['Operations Management', 'Business Analysis', 'Management & Leadership']"
154,Product Analyst Intern,"['Internship & Trainee Programs', 'Product Management', 'Data Science & Analytics']"
155,Housekeeping (Bogor & Cibubur),"['Hospitality & F&B', 'Skilled Trades & Technician']"
156,Product Marketing,"['Marketing', 'Product Management']"
157,Accounting Staff,"['Accounting']"
158,Compliance Officer,"['Legal & Compliance']"
159,Legal Staff (SJA Semarang),"['Legal & Compliance']"
160,Housekeeping - Cileungsi,"['Hospitality & F&B', 'Skilled Trades & Technician']"
161,Sr Finance Officer,"['Finance', 'Management & Leadership']"
162,Plant Secretary & Document Controller (SJA Semarang),"['Administrative & Secretarial', 'Production & Manufacturing']"
163,Business Analyst,"['Business Analysis']"
164,Technical Consultant,"['Consulting', 'IT Operations & Support', 'Software Engineering']"
165,.NET Developer,"['Software Engineering']"
166,Huawei Cloud Engineer,"['IT Operations & Support', 'DevOps']"
167,Asset & Facility Management Supervisor,"['Administrative & Secretarial', 'Operations Management', 'Management & Leadership']"
168,Operational Staff,"['Operations Management']"
169,Technical Writer,"['Creative & Design', 'Software Engineering', 'Engineering (non-software)']"
170,Account Payable,"['Accounting']"
171,Procurement Supervisor (Asset and Building),"['Supply Chain & Logistics', 'Management & Leadership']"
172,Oracle Financial Consultant,"['Consulting', 'Finance', 'Accounting', 'Software Engineering']"
173,IT Solution Architect,"['Software Engineering', 'IT Operations & Support', 'Consulting']"
174,Java Developer,"['Software Engineering']"
175,Sales Development Representative,"['Sales', 'Business Development']"
176,Product Operations & Content,"['Product Management', 'Operations Management', 'Creative & Design']"
177,Head of Brand Business,"['Marketing', 'Management & Leadership', 'Sales']"
178,Customer Service - Jakarta Selatan,"['Customer Service & Support']"
179,Finance Operations Lead,"['Finance', 'Operations Management', 'Management & Leadership']"
180,Key Opinion Leader Lead,"['Marketing', 'Management & Leadership']"
181,Asset Management & Controller Supervisor (Accounting),"['Accounting', 'Finance', 'Management & Leadership']"
182,Finance Research (Equity),"['Finance', 'Research & Development']"
183,Senior Backend Developer,"['Software Engineering', 'Management & Leadership']"
184,Area Sales Lead (Medan Placement),"['Sales', 'Management & Leadership']"
185,Procurement Supervisor (Mandarin Speaker),"['Supply Chain & Logistics', 'Management & Leadership']"
186,Tax Specialist,"['Tax']"
187,Cyber Security Specialist,"['Cybersecurity']"
188,Human Resources Intern,"['Internship & Trainee Programs', 'Human Resources']"
189,Area Sales Leader (Kalimantan),"['Sales', 'Management & Leadership']"
190,Retail Supervisor Area Papua (Manokwari),"['Retail', 'Sales', 'Management & Leadership']"
191,Network Operations (Hub Project),"['IT Operations & Support', 'Supply Chain & Logistics']"
192,Infrastructure Engineer (Estimator),"['IT Operations & Support', 'Engineering (non-software)', 'Finance']"
193,Housekeeping - Tangerang,"['Hospitality & F&B', 'Skilled Trades & Technician']"
194,Cyber Security Engineer (Blue Team),"['Cybersecurity']"
195,Operational Support (Mandarin Speaker),"['Operations Management', 'Administrative & Secretarial']"
196,Area Sales Lead (Jakarta),"['Sales', 'Management & Leadership']"
197,Corporate Strategy Manager,"['Management & Leadership', 'Business Analysis', 'Finance']"
198,Housekeeping - Karawang,"['Hospitality & F&B', 'Skilled Trades & Technician']"
199,Housekeeping - Palembang,"['Hospitality & F&B', 'Skilled Trades & Technician']"
200,Female Personal Trainer - Elang Laut PIK,"['Healthcare & Medical', 'Education & Training', 'Sales']"
201,Female Personal Trainer (Bandung),"['Healthcare & Medical', 'Education & Training', 'Sales']"
202,Fitness Consultant - Sales (Tangerang),"['Sales', 'Healthcare & Medical', 'Consulting']"
203,Personal Trainer - Jakarta Utara,"['Healthcare & Medical', 'Education & Training', 'Sales']"
204,Personal Trainer - Bogor,"['Healthcare & Medical', 'Education & Training', 'Sales']"
205,Personal Trainer (Jawa/Sumatera/Kalimantan/Sulawesi/Bali),"['Healthcare & Medical', 'Education & Training', 'Sales']"
206,Personal Trainer - Tangerang Selatan,"['Healthcare & Medical', 'Education & Training', 'Sales']"
207,Housekeeping (Batam),"['Hospitality & F&B', 'Skilled Trades & Technician']"
208,Fitness Consultant (Sales) - Jakarta Barat,"['Sales', 'Healthcare & Medical', 'Consulting']"
209,Housekeeping (Female) - Cilegon,"['Hospitality & F&B', 'Skilled Trades & Technician']"
210,Male Personal Trainer (Malang),"['Healthcare & Medical', 'Education & Training', 'Sales']"
211,Female Personal Trainer - Jakarta Barat,"['Healthcare & Medical', 'Education & Training', 'Sales']"
212,Sales Manager (Surabaya),"['Sales', 'Management & Leadership']"
213,Fitness Consultant - Sales (Malang),"['Sales', 'Healthcare & Medical', 'Consulting']"
214,Cleaning Service (Sidoarjo),"['Skilled Trades & Technician', 'Hospitality & F&B']"
215,Male Personal Trainer (Makassar),"['Healthcare & Medical', 'Education & Training', 'Sales']"
216,Fitness Consultant - Sales (Bali),"['Sales', 'Healthcare & Medical', 'Consulting']"
217,Customer Service - Bali,"['Customer Service & Support']"
218,Maintenance Staff - Bali,"['Skilled Trades & Technician']"
219,DevOps Engineer,"['DevOps']"
220,Female Personal Trainer (Living Plaza Jababeka Cikarang),"['Healthcare & Medical', 'Education & Training', 'Sales']"
221,IT Project Management Officer,"['Project Management', 'IT Operations & Support']"
222,Master Teacher Ruangguru - Kabupaten Rokan Hulu,"['Education & Training']"
223,Master Teacher Ruangguru - Indragiri Hilir,"['Education & Training']"
224,Master Teacher Ruangguru - Kabupaten Konawe Selatan,"['Education & Training']"
225,Branch Manager - Konawe (Sulawesi),"['Management & Leadership', 'Operations Management', 'Sales']"
226,Master Teacher Ruangguru - Kabupaten Natuna,"['Education & Training']"
227,Sales Trainee Academy Mataram - Pendidikan,"['Internship & Trainee Programs', 'Sales', 'Education & Training']"
228,Branch Manager English Academy - Bogor - Permata,"['Management & Leadership', 'Operations Management', 'Sales', 'Education & Training']"
229,(Talent Pool) Sales Trainee Academy - Rokan Hilir,"['Internship & Trainee Programs', 'Sales']"
230,Forklift Driver,"['Warehouse Management', 'Skilled Trades & Technician']"
231,Sparepart Warehouse Supervisor (SJA Semarang),"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
232,Production Supervisor (SJA Semarang),"['Production & Manufacturing', 'Management & Leadership']"
233,Quality Improvement Specialist,"['Quality Assurance (Non-Software)', 'Operations Management']"
234,Import Staff,"['Supply Chain & Logistics']"
235,Production Supervisor,"['Production & Manufacturing', 'Management & Leadership']"
236,Warehouse - Supervisor Area Distribution (SAD) - Indramayu,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
237,Warehouse - Distribution Coordinator (DC) - Bone,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
238,Campaign Manager,"['Marketing']"
239,Warehouse - Quality Assurance (QA) - Denpasar,"['Warehouse Management', 'Quality Assurance (Non-Software)']"
240,Product Development Manager (Food and Beverage),"['Product Management', 'Research & Development', 'Hospitality & F&B', 'Management & Leadership']"
241,KNIP NutriImpact - Ecommerce Divison,"['Internship & Trainee Programs', 'E-commerce', 'Marketing', 'Sales']"
242,B2B Sales Executive,"['Sales', 'Business Development']"
243,Accounting dan Tax Sr. Staff,"['Accounting', 'Tax']"
244,Head of Marketing,"['Marketing', 'Management & Leadership']"
245,QA Food and Safety Supervisor,"['Quality Assurance (Non-Software)', 'Hospitality & F&B', 'Health, Safety & Environment (HSE)', 'Management & Leadership']"
246,Assessment Specialist,"['Human Resources', 'Research & Development']"
247,Technical Support (API),"['IT Operations & Support', 'Software Engineering']"
248,Warehouse - Distribution Assistant (DA) - Ende,"['Warehouse Management', 'Supply Chain & Logistics']"
249,Sr. Operation Manager (Mandarin) - PT. TIN,"['Operations Management', 'Management & Leadership']"
250,Sales Force,"['Sales']"
251,Business Manager [FSI Sector],"['Management & Leadership', 'Sales', 'Finance']"
252,Sales Specialist,"['Sales']"
253,Senior Business Development,"['Business Development', 'Sales', 'Management & Leadership']"
254,Operational Assistance (Lampung),"['Operations Management', 'Administrative & Secretarial']"
255,IT Presales [Digital Solutions],"['Sales', 'Consulting', 'IT Operations & Support']"
256,Key Account Executive - Banten,"['Account Management', 'Sales']"
257,IT Operation & Infrastructure Lead,"['IT Operations & Support', 'Management & Leadership']"
258,Sales Development Representative,"['Sales', 'Business Development']"
259,GA & HSE Supervisor,"['Administrative & Secretarial', 'Health, Safety & Environment (HSE)', 'Management & Leadership']"
260,Implementor,"['IT Operations & Support', 'Software Engineering', 'Consulting']"
261,Wordpress Developer,"['Software Engineering', 'Creative & Design']"
262,Farm Technical Operations Manager,"['Operations Management', 'Agriculture', 'Management & Leadership']"
263,Maintenance / Utility Staff,"['Skilled Trades & Technician']"
264,Medical Representative - Padang,"['Sales', 'Healthcare & Medical']"
265,Corporate Planning Assistant Manager,"['Business Analysis', 'Finance', 'Management & Leadership']"
266,Area Sales Supervisor,"['Sales', 'Management & Leadership']"
267,"Cashier (Meat N Fresh, Singkawang)","['Retail', 'Customer Service & Support']"
268,Sales Supervisor (General Trade),"['Sales', 'Management & Leadership']"
269,Business Development Manado,"['Business Development', 'Sales']"
270,Mechanical Electrical Technician,"['Skilled Trades & Technician', 'Engineering (non-software)']"
271,Deputy Div Head Growth & Innovation,"['Marketing', 'Business Development', 'Management & Leadership']"
272,Telesales (Jabodetabek),"['Sales']"
273,Head of Area Jabodetabek,"['Management & Leadership', 'Sales', 'Operations Management']"
274,Sales Group Head,"['Sales', 'Management & Leadership']"
275,Sales Supervisor Bangka,"['Sales', 'Management & Leadership']"
276,Host Live Coordinator,"['Marketing', 'Creative & Design', 'Management & Leadership']"
277,"AR, Collector & Surveyor (Sidoarjo)","['Accounting', 'Finance', 'Sales']"
278,Legal Staff,"['Legal & Compliance']"
279,Paid Internship Civil - Quality & Customer Handling - Karawaci,"['Internship & Trainee Programs', 'Engineering (non-software)', 'Quality Assurance (Non-Software)', 'Customer Service & Support']"
280,Head of Finance Accounting & Tax,"['Finance', 'Accounting', 'Tax', 'Management & Leadership']"
281,Project Admin,"['Project Management', 'Administrative & Secretarial']"
282,Mechanical Engineering Development Program (MEDP),"['Internship & Trainee Programs', 'Engineering (non-software)']"
283,Network Engineer,"['IT Operations & Support']"
284,Finance Sr. Staff,"['Finance']"
285,Sales Manager (Jawa/Sumatera/Kalimantan/Sulawesi/Bali),"['Sales', 'Management & Leadership']"
286,Customer Support Specialist (Yogyakarta),"['Customer Service & Support']"
287,Recruitment Admin,"['Recruitment', 'Administrative & Secretarial']"
288,Brand and Marketing Copywriter,"['Marketing', 'Creative & Design']"
289,Digital Marketing Manager,"['Marketing', 'Management & Leadership']"
290,HR Junior Staff,"['Human Resources']"
291,General Affair & IT Support,"['Administrative & Secretarial', 'IT Operations & Support']"
292,Brand Executive - Nutrition Products,"['Marketing', 'Healthcare & Medical']"
293,Odoo Functional Analyst,"['Business Analysis', 'Software Engineering', 'Consulting']"
294,Data Analyst Intern,"['Internship & Trainee Programs', 'Data Science & Analytics']"
295,Accounting Officer,"['Accounting']"
296,Account Payable Staff,"['Accounting']"
297,New Product Development,"['Product Management', 'Research & Development']"
298,Marketing Internship - PT Kalbe Blackmores Nutrition,"['Internship & Trainee Programs', 'Marketing']"
299,Payroll & HRGA Specialist,"['Compensation & Benefits', 'Human Resources', 'Administrative & Secretarial']"
300,Social Media Content Creator,"['Marketing', 'Creative & Design']"
301,Business Process Improvement Associate,"['Operations Management', 'Business Analysis']"
302,Supply Chain Staff,"['Supply Chain & Logistics']"
303,General Insurance Admin (Talent Pool),"['Administrative & Secretarial', 'Finance']"
304,Farming Data Analytics,"['Data Science & Analytics', 'Agriculture']"
305,Operations Specialist - Bekasi,"['Operations Management']"
306,Operations Optimization Lead,"['Operations Management', 'Business Analysis', 'Management & Leadership']"
307,Account Receivable Staff,"['Accounting']"
308,Driver Acquisition Specialist,"['Recruitment', 'Supply Chain & Logistics', 'Operations Management']"
309,Fraud Control Expert,"['Risk Management', 'Legal & Compliance']"
310,Vehicle Registration Intern,"['Internship & Trainee Programs', 'Administrative & Secretarial', 'Legal & Compliance']"
311,Vehicle Registration Specialist,"['Administrative & Secretarial', 'Legal & Compliance']"
312,Learning and Development Intern,"['Internship & Trainee Programs', 'Learning & Development']"
313,Technology Specialist (IT Support),"['IT Operations & Support']"
314,KOL Specialist Staff,"['Marketing']"
315,KOL Specialist,"['Marketing']"
316,Business Analyst Sr. Specialist,"['Business Analysis', 'Management & Leadership']"
317,Account Executive Staff,"['Sales', 'Account Management']"
318,Direct RM Import Admin,"['Supply Chain & Logistics', 'Administrative & Secretarial']"
319,Customer Service Specialist,"['Customer Service & Support']"
320,Internal Auditor,"['Audit']"
321,Desk Collection (Jogja Placement),"['Finance', 'Sales', 'Customer Service & Support']"
322,Logistic Officer,"['Supply Chain & Logistics']"
323,Graduate Trainee Program - Marketing & Business Development,"['Internship & Trainee Programs', 'Marketing', 'Business Development']"
324,Solution Delivery Consultant / IT Presales,"['Consulting', 'Sales', 'IT Operations & Support', 'Software Engineering']"
325,Intern Corporate Communication Officer,"['Internship & Trainee Programs', 'Marketing', 'Public Relations']"
326,Personal Assistant (Pria),"['Administrative & Secretarial']"
327,Operational Supervisor (Bandung),"['Operations Management', 'Management & Leadership']"
328,Financial Analyst,"['Finance']"
329,Checker Out (SJA Semarang),"['Warehouse Management', 'Supply Chain & Logistics']"
330,KNIP NutriImpact - Business Insight and Data Science Division - Internship,"['Internship & Trainee Programs', 'Data Science & Analytics', 'Business Analysis']"
331,"Telesales (Palma Tower, Jakarta Selatan)","['Sales']"
332,Content Creator Intern,"['Internship & Trainee Programs', 'Creative & Design', 'Marketing']"
333,KNIP NutriImpact - Human Capital (Industrial & Employee Relation) - Internship,"['Internship & Trainee Programs', 'Human Resources']"
334,Business Analyst,"['Business Analysis']"
335,Host Live Streaming,"['Marketing', 'Creative & Design']"
336,Content Creator Internship,"['Internship & Trainee Programs', 'Creative & Design', 'Marketing']"
337,Financial Planning and Analysis,"['Finance']"
338,Trade Marketing Supervisor,"['Marketing', 'Sales', 'Management & Leadership']"
339,Live Stream Operator Freelance,"['Marketing', 'Creative & Design', 'Skilled Trades & Technician']"
340,Revenue Sr. Associate,"['Finance', 'Accounting']"
341,Network Gateway Antenna RF/IF,"['IT Operations & Support', 'Engineering (non-software)']"
342,QA Engineer (Freelance),"['Quality Assurance (Software)']"
343,Product Performance QA Specialist (Mass Product),"['Quality Assurance (Non-Software)', 'Product Management']"
344,Project Management Officer (PT. Cakra Radha Mustika),"['Project Management']"
345,Relationship Manager (Funding) - Semarang Area,"['Sales', 'Finance', 'Account Management']"
346,Social Media Intern,"['Internship & Trainee Programs', 'Marketing', 'Creative & Design']"
347,Customer Service (Semarang),"['Customer Service & Support']"
348,Expert Content Creator,"['Creative & Design', 'Marketing']"
349,Content Creator,"['Creative & Design', 'Marketing']"
350,Channel Sales Representative (Yogyakarta),"['Sales']"
351,System Analyst,"['Business Analysis', 'Software Engineering']"
352,System Analyst,"['Business Analysis', 'Software Engineering']"
353,.NET Developer,"['Software Engineering']"
354,Account Manager (ERP),"['Account Management', 'Sales', 'Software Engineering']"
355,Technical Engineer Program (SMK Freshgraduate),"['Internship & Trainee Programs', 'Engineering (non-software)', 'Skilled Trades & Technician']"
356,Strategic Presales,"['Sales', 'Consulting']"
357,Presales CRM,"['Sales', 'Consulting', 'Marketing']"
358,SAP MM CONSULTANT,"['Consulting', 'Software Engineering', 'Supply Chain & Logistics']"
359,Software Engineer (Backend),"['Software Engineering']"
360,Digital Branding & Communication,"['Marketing', 'Creative & Design', 'Public Relations']"
361,Tax Staff,"['Tax']"
362,Customer Service,"['Customer Service & Support']"
363,Account Manager,"['Account Management', 'Sales']"
364,KNIP NutriImpact - Marketing Brand Divison - Internship,"['Internship & Trainee Programs', 'Marketing']"
365,Product Marketing (Manufacturing),"['Marketing', 'Product Management', 'Production & Manufacturing']"
366,KOL Specialist Intern,"['Internship & Trainee Programs', 'Marketing']"
367,HR Internship,"['Internship & Trainee Programs', 'Human Resources']"
368,QA Microbiology Jr. Staff,"['Quality Assurance (Non-Software)', 'Research & Development', 'Healthcare & Medical']"
369,Associate AI Engineer (Jogja),"['Software Engineering', 'Data Science & Analytics']"
370,Finance Business Partner,"['Finance', 'Accounting', 'Business Analysis']"
371,Junior Procurement Associate,"['Supply Chain & Logistics']"
372,Account Receivable,"['Accounting']"
373,Product Packaging Designer,"['Creative & Design', 'Product Management']"
374,Legal Associate,"['Legal & Compliance']"
375,Product Engineer,"['Product Management', 'Software Engineering', 'Engineering (non-software)']"
376,Risk & Assessment Staff,"['Risk Management', 'Legal & Compliance']"
377,Customer Success Associate,"['Account Management', 'Customer Service & Support']"
378,Asset and Inventory (Internship),"['Internship & Trainee Programs', 'Supply Chain & Logistics', 'Finance', 'Accounting']"
379,Housekeeping (Jakarta),"['Hospitality & F&B', 'Skilled Trades & Technician']"
380,Customer Service - Cirebon,"['Customer Service & Support']"
381,AREA SALES PROMOTION SUPERVISOR (ASPS) - PT Kalbe Blackmores Nutrition,"['Sales', 'Marketing', 'Management & Leadership']"
382,Credit Risk Strategy Analyst,"['Risk Management', 'Finance', 'Data Science & Analytics']"
383,Finance & Accounting Supervisor,"['Finance', 'Accounting', 'Management & Leadership']"
384,Marketplace Specialist Staff,"['E-commerce', 'Marketing', 'Sales']"
385,Senior Mobile Developer,"['Software Engineering', 'Management & Leadership']"
386,Data Engineer,"['Data Science & Analytics']"
387,Maintenance Process Technician (Project),"['Skilled Trades & Technician', 'Production & Manufacturing']"
388,Customer Care Internship,"['Internship & Trainee Programs', 'Customer Service & Support']"
389,Product Manager,"['Product Management']"
390,Supervisor Legal Litigation,"['Legal & Compliance', 'Management & Leadership']"
391,Area Sales Leader (Jawa),"['Sales', 'Management & Leadership']"
392,IT Governance Intern,"['Internship & Trainee Programs', 'IT Operations & Support', 'Legal & Compliance', 'Cybersecurity']"
393,Business Development,"['Business Development', 'Sales']"
394,Trade Marketing Executive for Modern Trade,"['Marketing', 'Sales', 'Retail']"
395,Area Sales Leader (Bali),"['Sales', 'Management & Leadership']"
396,Research & Development Staff,"['Research & Development']"
