,job_desc_list,job_qualification_list
10,"['Create Content plan (weekly/monthly)', 'Create, Developed & Implement social media strategies through content & live hosting', 'Manage and grow social media accounts (TikTok, Instagram, Facebook & Twitter)', 'Create relevant content to increase brand awareness and sales leads', 'Keep on track with social media tools and trend', 'Finding and suggest KOL for promotion', 'Administering all social media accounts to ensure up-to-date content', 'Analyze campaign and social media performance', 'Collaboration with design team to create content', 'Create weekly/monthly report social media performance']","[""Bachelor's degree (S1) or equivalent in a related field"", 'Working experience 1-2 years of developing Social Media Account in FnB industry', 'Able to use simple editing tools for image and video, able to use Illustrator/Photoshop/AfterEffects is a plus point', 'Creative, Proactive, Open Minded, Simple Thinking & Story Teller', 'Proven experience in managing social media accounts for businesses', 'Strong understanding of social media platforms, trends, tools and best practices', 'Have a keen eye on design and aestethics', 'Able to manage social media ads', 'Create and execute photo and video for social media content', 'Confident to speaking front of camera and capable being a talent', 'Excellent written and verbal communication skills', 'Strong analytical skills to track and report on social media performance', 'Ability to work independently, and work with a team when necessary to meet deadlines']"
11,"['Menulis, menguji, dan memelihara kode PHP untuk membangun aplikasi web dinamis dan fungsional.', 'Mengembangkan sistem backend menggunakan PHP dan memastikan aplikasi berjalan dengan baik di server.', 'Membuat, mengelola, dan mengoptimalkan database menggunakan SQL (misalnya, MySQL, PostgreSQL) agar aplikasi dapat mengakses dan menyimpan data dengan efisien.', 'Menulis kueri SQL yang efisien untuk mendukung fungsionalitas aplikasi web.', 'Menyelesaikan masalah yang ada (debugging) dan memperbaiki bug dalam kode.', 'Menangani keamanan aplikasi dengan cara mengimplementasikan langkah-langkah proteksi seperti sanitasi input, pengelolaan sesi yang aman, dan proteksi terhadap serangan seperti SQL injection, XSS, dan CSRF.', 'Menggunakan alat pengembangan kolaboratif seperti Git untuk pengelolaan versi kode.', 'Menulis dan melaksanakan unit test untuk memastikan aplikasi bekerja sesuai dengan harapan.', 'Melakukan pengujian terhadap aplikasi web untuk memastikan semuanya berjalan dengan baik setelah diperbarui.']","['Minimal pendidikan S1 dengan jurusan Teknik Informatika / Komputer.', 'Memiliki pengalaman min 1 tahun di bidang terkait.', 'Menguasai Framework PHP seperti Laravel, CodeIgnter, Symfony atau Yii.', 'Menguasai database relasional seperti MySQL, PostgreSQL atau MariaDB.', 'Memiliki kemampuan untuk membuat dan mengkonsumsi API (Misalnya RESTful API).', 'Menguasai Sql& No SQLDatabase.', 'Terbiasa menggunakan git dan bitbucket.']"
12,"['Offer legal counsel on corporate law, contracts, IT law, and consumer protection.', 'Ensure compliance with PCI DSS standards, Bank Indonesia regulations, and other relevant industry rules.', 'Oversee licensing and regulatory requirements, including OSS processes (LKPM, KBLI adjustments, and TD-PSE Komdigi).', 'Draft, review, and negotiate business contracts and agreements.', 'Handle legal issues related to fintech, payment systems, and data privacy regulations.', 'Support dispute resolution and regulatory compliance initiatives.', 'Collaborate with technical teams to address legal aspects of system integration and e-commerce operations.', 'Maintain and manage legal documents using Microsoft Office Suite and legal management tools.']","['Bachelor’s Degree in Law with 3–5 years of experience as a Corporate Legal Specialist or similar role.', 'In-depth knowledge of corporate law, fintech regulations, and e-commerce compliance.', 'Proven experience handling contracts, regulatory compliance, and dispute resolution.', 'Familiarity with OSS processes and industry-specific requirements.', 'Strong analytical and problem-solving skills with excellent attention to detail.', 'Effective communication and negotiation skills.', 'Ability to work independently, in teams, and across departments.', 'Proficiency in English (verbal and written).']"
13,"['·\xa0\xa0\xa0\xa0\xa0\xa0Handle customer inquiries via phone, email, and online channels.', '·\xa0\xa0\xa0\xa0\xa0\xa0Ensure 24/7 service coverage and resolve issues quickly.', '·\xa0\xa0\xa0\xa0\xa0\xa0Conduct customer satisfaction surveys and report findings.', '·\xa0\xa0\xa0\xa0\xa0\xa0Assist customers with product and service-related questions.', '·\xa0\xa0\xa0\xa0\xa0\xa0Identify and refer potential customers to relevant teams.', '·\xa0\xa0\xa0\xa0\xa0\xa0Resolve customer complaints efficiently, ensuring satisfaction.', '·\xa0\xa0\xa0\xa0\xa0\xa0Maintain accurate records and provide reports to management.']","['·\xa0\xa0\xa0\xa0\xa0\xa0Female, at least 1 year experience in customer service', '·\xa0\xa0\xa0\xa0\xa0\xa0Bachelor’s degree in a relevant field', '·\xa0\xa0\xa0\xa0\xa0\xa0Willing to work in shifts', '·\xa0\xa0\xa0\xa0\xa0\xa0Fluent in English, Proficient in Microsoft Office and customer service tools.', '·\xa0\xa0\xa0\xa0\xa0\xa0Ability to work in a fast-paced, customer-focused environment.']"
14,"['Memberikan konsultasi keuangan kepada klien', 'Membantu merancang rencana keuangan yang sesuai dengan kebutuhan klien', 'Menyediakan solusi investasi yang tepat sesuai dengan profil risiko']","['Pendidikan Min. D3', 'Fresh Graduated/Berpengalaman', 'Terbuka untuk semua jurusan', 'Dapat berkomunikasi dengan baik']"
15,"['Membuat desain visual untuk kebutuhan promosi & branding dengan kualitas yang tinggi yang sejalan dengan kebutuhan perusahaan\xa0', 'Memastikan materi design yang di cetak sesuai dengan design yang telah disepakati sebelumnya oleh perusahaan\xa0', 'Terlibat dalam proses dokumentasi kegiatan – kegiatan perusahaan dalam berbagai event\xa0', 'Menghasilkan sketsa tangan untuk pengembangan konsep desain', 'Bekerja sama dengan tim marketing & produk untuk kampanye visual yang menarik']","['Sarjana Graphic Design , Multimedia atau Setara', 'Minimal 3 tahun pengalaman di industri retail fashion sebagai Graphic Designer, Photographer atau Videographer\xa0', 'Hand sketching skills adalah keharusan 🎨✍', 'Mahir dalam Adobe Creative Suite (Photoshop, Illustrator, Video Motion,dll.)', 'Memahami tren desain dan branding di industri fashion', 'Kreatif, detail-oriented, memiliki manajemen waktu yang baik dan mampu bekerja dengan deadline', 'Mampu bekerjasama dalam tim dan memiliki skill komunikasi yang baik\xa0', 'Bersedia ditempatkan di Teras Lakon, Gading Serpong\xa0']"
16,"['Actively hunt for new clients through personal network and industry connections, especially within creative and digital agency circles.', 'Deliver winning pitches and turn leads into paying clients.', 'Negotiate deals and manage the end-to-end sales process.', 'Drive sales growth and consistently meet monthly and quarterly business development targets.', 'Establish and nurture strategic partnerships while collaborating with internal teams to ensure seamless service delivery.', 'Build and maintain strong relationships with key clients to ensure satisfaction and long-term partnerships.', 'Conduct in-depth market research and competitor analysis to uncover trends and opportunities in the digital and creative marketing industry.']","['2–3 years of experience in Business Development, especially in digital/creative agencies with a strong track record in client acquisition and relationship management.', 'Demonstrated background in handling 360 campaigns and digital marketing projects.', 'Proven ability to generate leads from personal and professional networks.', 'Strong communication and negotiation skills with a persuasive and consultative selling approach.', 'Strategic mindset with solid analytical skills and market knowledge to identify business opportunities.', 'Collaborative team player with the ability to coordinate across departments.', 'Strong track record of delivering results and exceeding targets.']"
17,"['Assist in managing the company’s affiliate program by identifying, onboarding, and maintaining relationships with affiliates.', 'Help track affiliate performance, commissions, and engagement metrics to assess the effectiveness of partnerships.', ""Research and identify suitable KOLs, influencers, and micro-influencers in the fashion and lifestyle space who align with the brand's image."", 'Help maintain an organized content calendar for all influencer and affiliate activities to align with overall marketing plans.', 'Assist in monitoring key metrics for affiliate and KOL campaigns,', ""Stay updated with industry trends, emerging influencers, and competitors' affiliate/KOL strategies in the fashion space.""]","['Pursuing or recently completed a degree in Marketing, Communication, Fashion Management, or a related field.', 'Previous internship or project experience in affiliate management, influencer marketing, social media, or digital marketing is a plus.', 'Strong analytical skills and attention to detail.', 'Excellent communication and organizational skills.', 'Able to work collaboratively in a fast-paced environment.', 'Eager to learn and take initiative on tasks.', 'Willing to work on-site in Bandung.']"
18,"['Develop illustrations, social media design content, promotional content, and offline marketing assets using design software', 'Working with Creative Team to process scope & objectives', 'Ensure final graphics & layouts are visually appealing, engaging, and on-brand']","['Creative & Design Aesthetics Driven', 'Having high curiosity & tend to do some research about the content', 'Great attention to details & having excellent time-management', 'Excellent communication skills', 'years of working experience as a Graphic Designer in an agency/start-up environment.', 'Photoshop, Illustrator, Figma', 'Experienced in creating social media content and marketplace marketing assets', 'Self-motivated and very attentive to details', 'Design thinker (able to initiate creative ideas and solutions)', 'Experience with digital image editing and retouching.']"
19,"['- Melakukan bimbingan karir mahasiswa dan alumni', '- Melakukan pengelolaan hubungan eksternal realisasi kerjasama industri (Career Center)', '- Melakukan pengelolaan kebutuhan departemen']","['- Pria/wanita usia 22-30 tahun', '- Pendidikan minimal S1 Psikologi atau Manajemen dari universitas terakreditasi.', '- Terampil dalam mengelola administrasi dan dokumentasi terkait program pengembangan karir.', '- Mampu mengorganisir data dan informasi dengan rapi dan sistematis.', '- Memiliki kemampuan komunikasi verbal dan tertulis yang baik.', '- Dapat berinteraksi secara efektif dengan berbagai pihak, termasuk perusahaan, peserta program, dan tim internal.', '- Mampu membangun dan memelihara hubungan baik dengan perusahaan-perusahaan mitra.', '- Memiliki ide-ide kreatif dalam merancang dan mengembangkan program pengembangan karir yang menarik dan relevan.', '- Cepat tanggap dan gesit dalam menjalankan program serta menghadapi perubahan atau masalah yang muncul.']"
20,"['Develop, manage and execute business growth projects', 'Facilitate alignment between project goals and commercial strategies', 'Build relationships with internal and external stakeholders to ensure project success', ""Monitor and report on key project metrics to the CEO's office"", 'Drive innovation and continuous improvement in project execution', 'Conduct regular project reviews to assess performance and outcomes']","[""Bachelor/master's degree in business administration, management, or a related field"", 'Proficiency in project management tools and Microsoft Office (especially Excel)', 'Experience in fintech or similar high-growth industries is a plus', 'Strong leadership with the ability to manage high-stakes projects', 'Excellent collaboration and communication skills for cross-functional teamwork', 'Capable of managing multiple growth initiatives simultaneously', 'Data-driven mindset with experience in performance monitoring and reporting', 'Strategic thinking with a focus on delivering measurable business results', 'Adaptability to a fast-paced, evolving business environment']"
21,"['Menyapa dan melayani pelanggan di kafe atau restoran', 'Mengkonfirmasi item makanan sesuai dengan pesanan pelanggan', 'Mengantar pesanan makanan ke meja pelanggan', 'Mematuhi kebijakan, keamanan, dan kepuasan pelanggan', 'Memberikan tagihan dan memproses pembayaran']","['Pendidikan minimal SMA/SMK Perhotelan', 'Tinggi Badan min. 160cm berat badan seimbang', 'Pengalaman minimal 1 tahun di bidang yang sama di perhotelan', 'Memiliki keterampilan pelayanan pelanggan', 'Kejujuran dan kemampuan untuk menangani transaksi', 'Bersedia bergabung secepatnya', 'Penempatan di PIK Jakarta Utara']"
22,['Deskripsi Pekerjaan:'],"['Berpengalaman melakukan livestream di Marketplace;', 'Terbiasa menggunakan Open Broadcaster Software (OBS);', 'Memiliki ide-ide kreatif;', 'Memiliki keterampilan berbicara di depan umum yang baik;', 'Energis, percaya diri, dan terbiasa berbicara di depan kamera;', 'Memiliki kemampuan dan pengetahuan tentang kosmetik;', 'Mampu bekerja shift dan bekerja di akhir pekan/hari libur nasional (bergulir).']"
23,"['Provide technical leadership in a fast-moving, data-driven environment.\xa0\xa0', 'You will be deeply engaged in the full development lifecycle designing, developing, testing, deploying, maintaining, monitoring, and improving the software.\xa0\xa0', 'Write well-formatted modular code\xa0\xa0', 'Compile and integrate changes with the project\xa0\xa0', 'Use suitable data structures\xa0\xa0', 'Perform, debug and fix bugs, competency in a programming language\xa0']","['Experience in the related field\xa0', ""Bachelor's degree or College graduate\xa0"", 'Proficient knowledge of the back-end programming techstack such as nodejs,express,sequelize,Sql & no SQL DB\xa0', 'Understanding of front-end web technologies like HTML, CSS, and JavaScript (to communicate with team members on the front-end)\xa0', 'Ability to manage a hosting environment, including database administration as well as scaling applications to handle load changes\xa0', 'Knowledge of accessibility and security compliance\xa0', 'Experience with version control, such as Git\xa0']"
24,"['Assist in giving creative suggestions for digital contents that meets expectation and standards\xa0', 'Keep quality control in video production', 'Produce video / photo content as briefed', 'Equipment Maintenance', 'Ability to take charge of live streaming technicalities when needed during events', 'Direct and coordinate shots for short and long form contents', 'Making Editor Notes (Outline, Editing Specifications) if needed', 'Coordinate with Creative for content timeline', 'Video Editing for longer format contents\xa0(Offline & Online Editing)', 'Ability to shift content into short-formats for social media use\xa0', 'Providing ‘Best Cut’ for e.g. Video Thumbnail, Teaser, Moments that can capture audience engagement', 'Incorporate creative graphics and visual effects where necessary']","['Pursuing a degree in Broadcasting, Film, Media Production, Digital Media, or related field.', 'Strong passion for videography, storytelling, and creative content creation.', 'Proficiency in video editing software, such as Adobe Premiere Pro, Final Cut Pro, or equivalent tools.', 'Passionate about the music industry.', 'Excellent attention to detail and organizational skills, with the ability to manage multiple projects and deadlines effectively.', 'Strong communication and collaboration skills, with a positive attitude and willingness to learn and grow in a fast-paced environment.', 'Previous experience with video production or editing, either through coursework, internships, or personal projects, is a plus.', 'Can operate the camera.', 'Stay current with social media trends and algorithm.', 'Must submit a portfolio.']"
25,"['Responsible for manage IT project delivery (planning, executing, evaluating).', 'Preparing project implementation by creating Project Plan, Project Charter, and Kick-off Meeting Material.', 'Ensuring all projects are carried out based on the scope of work, timeline, and good quality.', 'Able to mitigate possible risks that may happen during the project', 'As Quality Assurance role for all stages and deliverable of Project.', 'Preparing and evaluate regular project status reports, identify challenges, recommend solutions and presenting to stakeholder or client.', 'Oversee project teams, including task assignments, performance monitoring, and ensuring team efficiency']","['Minimum Bachelor Degree (S1) in Information Technology or Information System with GPA min 3.0', 'Experienced in Project Manager at least 4 years.', 'Proficiency in English, both oral and written.', 'Able to operate Project Management tools', 'Proficient and Certified in Project Management, such as PRINCE2, PMP, or Agile Project Management.', 'Familiar with industry frameworks and standards in IT Governance, Risk, & Compliance, IT Service Management, Cyber Security, etc.', 'Have a good communication skills and time management', 'Able to work as a team and excellence on manage a team']"
26,"['Assist the Business Development team with daily activities and execution of the campaign.', 'Coordinate across internal campaign stakeholders (Marketing, BD Category, etc) to support campaign/project communication.', 'Support the business development team with administrative tasks and research needs.']","[""Fresh graduate with Bachelor's degree in any relevant study or Final year student is welcome to apply."", 'Proficiency in using Google Suite.', 'Having good communication and negotiation skills.', 'Highly motivated and eager to learn.', 'Willing to fully WFO in Tangerang.']"
27,"[""The Creative Group Head at Redwoods Digital will lead a team of creative professionals to produce high-quality, innovative marketing and branding solutions. This role requires a deep understanding of marketing strategies, creative development, and client communication. The Creative Group Head will be responsible for ensuring that all creative outputs align with the client's objectives and the agency’s standards.""]","['Experience: 5+ years of experience in a creative leadership role within an advertising agency or similar environment.', ""Education: Bachelor's degree in Advertising, Marketing, Design, or a related field."", 'Skills:', 'Proven ability to lead and inspire a creative team.', 'Strong understanding of marketing strategies and creative development processes.', 'Excellent communication and client management skills.', 'Proficient in creative software such as Adobe Creative Suite.', 'Strong portfolio showcasing a range of creative work across different media.', 'Personality: Creative thinker, proactive problem solver, and a strong leader who can thrive in a fast-paced environment.']"
28,['Melakukan pelayanan terhadap penumpang VIP'],"['Wanita / Pria dengan tinggi dan berat badan proporsional', 'Penampilan yang baik', 'Memiliki kemampuan bahasa Inggris yang baik', 'Memilki kemampuan komunikasi dan interpersonal yang baik', 'Memiliki pengetahuan tentang industri bandara dan perjalanan menjadi nilai tambah', 'Siap untuk penempatan di Bandara Nasional dan Internasional']"
29,"['Plan and execute paid media campaigns across platforms like Google Ads, Meta Ads, TikTok Ads.', 'Optimize campaigns to maximize ROI and drive customer acquisition.', 'Report on campaign success and identify areas for improvement.', 'Monitor ad performance and analyze key metrics to provide actionable insights.']","['Bachelor’s degree in Marketing, Business, or related fields.', '1-2 years of experience in performance marketing or digital advertising.', 'Proficient in Google Analytics and ad platforms.', 'Strong analytical skills and data-driven mindset.', 'Experience with A/B testing and campaign optimization.']"
30,"['Host live streaming sessions on social media platforms to promote products, services, or brand awareness.', 'Engage with the audience in real-time through interactive conversations, answering questions, and responding to comments.', 'Showcase products or services creatively, highlighting features, benefits, and promotions to encourage purchases.', 'Collaborate with the marketing team to plan streaming schedules, themes, and content.', 'Monitor and analyze live stream performance metrics (viewership, engagement rate, sales) to improve future sessions.', 'Stay updated on current trends and audience preferences to create appealing content.', 'Maintain professionalism and represent the brand positively throughout all live sessions.']","['Proven experience in hosting live streams or similar roles in digital content creation.', 'Excellent communication and public speaking skills, with the ability to engage and entertain an online audience.', 'Confident, charismatic, and comfortable in front of the camera.', 'Familiarity with social media platforms and live streaming tools, including analytics features.', 'Ability to adapt to audience preferences and think quickly during live interactions.', 'Basic knowledge of product promotion strategies and online sales techniques.', 'Flexibility in working hours to accommodate live streaming schedules, including evenings and weekends.']"
31,"['Identifying, qualifying and securing industrial property opportunities', 'Give most suitable property recommendation based on client requirements', 'Create and present a long term cooperation with relevant industries', 'Collaboration with sales team for site inspection with client', 'Act as a trusted advisor to clients, offering insights and recommendations on real estate investment strategies and market dynamics', 'Lead negotiations and contract discussions to secure new business opportunities and partnerships', 'Represent the company at industry events, conferences, and networking functions to enhance our brand visibility and reputation', 'Stay updated on industry regulations, market conditions, and best practices to inform strategic decision-making and maintain a competitive edge']","[""Bachelor's Degree from any major"", 'Experienced minimum 1 year', 'Exceptional communication, negotiation, and presentation skills', 'Proven track record of success in business development, sales, or consulting within the real estate industry', 'Deep understanding of property market dynamics, investment strategies, and industry trends is a must', 'Willing to work on-site at our Head Office in West Jakarta', 'Willing to do business trip if needed', 'Able to join soon']"
32,"['Designing a testing plan/test case (for example, login if the user and password are wrong, etc.)', 'Conducting analysis and testing on the results of new products/features from engineers', 'Compiling a test result report, determining the error/bug rating found (minor, major, critical) and proposing issue improvements by engineers', 'Coordinating with the scrum master to ensure that the issue improvements worked on by engineers are in accordance with the timeline', 'Conducting regression tests on issues that have been fixed by engineers and compiling a regression testing result report', 'Following technological developments related to their field and analyzing opportunities for implementing testing according to their area of \u200b\u200bexpertise']","[""Bachelor's degree in Computer Science, Electrical Engineering, MIPA"", 'Minimum 5 years in QA Testing', 'Knows Manual Testing', 'Knows testing result documentation (smoke test, regression test)', 'Knows various types of testing (smoke test, regression test)']"
33,"['Design, implement, and maintain secure CI/CD pipelines, ensuring compliance with best practices.', 'Collaborate across teams to integrate security into the software development lifecycle.']","[""Bachelor's Degree in Computer Science, Information Technology"", 'Have experience as a developer (Whose application has been on Penetration Testing)', 'Have experience of more than 3 years in the same field.']"
